delta_T_log,hotspot_area_log,hotspot_avg_temp_change_rate_initial_norm,overall_std_deltaT,temp_std_avg_initial
2.681021528714291,3.9512437185814275,0.002250512641955441,0.13737962951194269,0.18031405437729384
2.4932054526026954,3.9889840465642745,0.0021574377045646045,0.07789989295831416,0.18887519921304427
2.2617630984737906,3.6888794541139363,0.002830024662545336,0.05498191571867147,0.17277379456305572
1.9600947840472698,0.0,,,
1.7227665977411035,2.1972245773362196,0.003810559228112918,0.050736832378965084,0.09829582239402948
2.681021528714291,4.574710978503383,0.0024541832708935337,0.11192980827801581,0.7600928123842301
2.4932054526026954,4.574710978503383,0.003482684792533852,0.13929180051417586,0.6907439563240672
2.2617630984737906,4.143134726391533,0.00544487397458456,0.1052278857216956,0.6042743823239969
1.9600947840472698,4.700480365792417,0.004709498375898651,0.0975581677027131,0.5608970718194004
1.7227665977411035,4.204692619390966,0.005377900241609416,0.07459149651628515,0.47281573629140106
2.681021528714291,4.442651256490317,0.0019571562762199872,0.10695306802676072,0.33259611508693565
2.2617630984737906,4.127134385045092,0.0024232772505630253,0.07339918962451784,0.2844581486180861
1.9600947840472698,4.07753744390572,0.002850599193975107,0.06499835620694877,0.29354962162281295
2.4932054526026954,4.356708826689592,0.002128846730477866,0.0917176118899837,0.3463895300188335
1.7227665977411035,2.4849066497880004,0.0037864533990092175,0.03903682694402944,0.17895485841616124
2.681021528714291,4.543294782270004,0.002793752786939539,0.1586873481270599,0.5788158475005148
2.4932054526026954,4.709530201312334,0.00355868104920153,0.15213415823803197,0.5490477875111963
2.2617630984737906,4.564348191467836,0.0033590039676242634,0.11820923946982001,0.5426026079871564
1.9600947840472698,4.718498871295094,0.004471814774752381,0.10531024918678619,0.515925942454593
1.7227665977411035,3.58351893845611,0.0060852560652992025,0.05949225751388274,0.4573459755158717
