video_id,hole_id,airflow_rate,material,delta_T,voltage,pressure_Pa,session,hotspot_area,hotspot_avg_temp_change_rate_initial,hotspot_avg_temp_change_magnitude_initial,peak_pixel_temp_change_rate_initial,peak_pixel_temp_change_magnitude_initial,temp_mean_avg_initial,temp_std_avg_initial,temp_min_overall_initial,temp_max_overall_initial,stabilized_mean_deltaT,overall_mean_deltaT,max_abs_mean_deltaT,stabilized_std_deltaT,overall_std_deltaT,hotspot_solidity,time_to_peak_mean_temp,temperature_skewness,temperature_kurtosis,bbox_area,bbox_aspect_ratio,perimeter,circularity,mean_gradient_at_edge,cumulative_raw_delta_sum,cumulative_abs_delta_sum,auc_mean_temp_delta,mean_pixel_volatility
T1.4V_2.2Pa_2025-6-16-16-59-16_20_26_6_,1_centerhole,0.20152,brick_cladding,6.0,1.4,0.5,brick_cladding_all,177,0.0091041871240497,0.0772775229761144,0.0143814086914212,0.0955543518065979,22.568421108008778,0.2037284772869485,22.2074127197266,23.3049240112305,0.1534476718341135,0.0990885268676557,0.1691356594279724,0.2328405645929075,0.2201908976535831,1.079268292682927,8.4,1.2126110638944685,1.0312219435167913,240,1.0666666666666669,48.041630029678345,0.963712876123714,0.2989195865526853,398.8937149048033,553.7061843872232,0.4517663697064872,2.057910692893968
T1.4V_2.2Pa_2025-6-16-16-59-16_20_26_6_,2_cornerhole,0.04612,brick_cladding,6.0,1.4,0.5,brick_cladding_all,137,0.0056566508193995,0.0637730229509969,0.0114647547403349,0.1512603759765021,22.27441955677784,0.1023428402769657,22.0002346038818,22.6479110717773,0.1289469997011749,0.0793275674416171,0.1508315009792333,0.1289772769806508,0.1157394616916031,1.1183673469387756,9.8,0.5587544203360826,-0.1922799440793126,182,1.0769230769230769,41.21320307254791,1.0135792081192547,0.1999207232080148,213.69434738157577,361.3307571410992,0.3090117210889475,1.9093163204889263
T1.4V_2.2Pa_2025-6-16-16-43-12_20_30_10_,1_centerhole,0.20152,brick_cladding,10.0,1.4,0.5,brick_cladding_all,189,0.0075803389624939,0.0654182030410375,0.0137321472167997,0.1511478424071981,22.375943311055497,0.0995734608365389,22.0969753265381,22.7302875518799,0.1375668123883249,0.0956887563069765,0.1537135593474978,0.1394893809360849,0.1197729906210876,0.8307692307692308,7.6,0.6086754019607419,-0.0308099674561752,374,0.7727272727272727,98.29111969470978,0.245834654186105,0.1952295067747214,480.8047389984312,572.7967128753698,0.5022462632920973,1.8149979202835311
T1.4V_2.2Pa_2025-6-16-16-43-12_20_30_10_,2_cornerhole,0.04612,brick_cladding,10.0,1.4,0.5,brick_cladding_all,177,0.0114331721361497,0.1072117972508657,0.0190788269043004,0.2454776763916015,22.72664384421656,0.2122628826366629,22.3452911376953,23.509334564209,0.1736704621894927,0.1161497618249589,0.1833640815174497,0.2518365275576651,0.2346652926022938,1.0925925925925926,9.8,1.172886522882524,0.9861678202399636,225,1.0,47.79898953437805,0.9735218398037307,0.2878942854988,468.9395580291917,598.9044971466112,0.5191540270875497,2.0212263225834524
T1.4V_2025-08-08-19-44-50_20_32_12_,1_centerhole,0.20152,brick_cladding,12.0,1.4,0.5,brick_cladding_all,127,0.0120912198945294,0.1190772619773099,0.0182905429747046,0.0817985534667968,22.50756996425118,0.3147221136191048,21.737171173095703,23.56377220153809,0.2073868120353947,0.1412093268166694,0.2208659855399553,0.3311239416732653,0.3235813906819446,1.1390134529147982,9.8,0.8495021190644586,0.0211321632221426,156,1.0833333333333333,39.55634891986847,1.0199554122625218,0.4953686061595236,386.32925605773926,544.8585224151611,0.6040540815338424,2.9052920153760535
T1.4V_2025-08-08-19-44-50_20_32_12_,2_cornerhole,0.04612,brick_cladding,12.0,1.4,0.5,brick_cladding_all,281,0.0041882457258015,0.0359197324705284,0.0091578165690104,0.0549449920654296,22.395459227375287,0.0998785424075193,22.05553436279297,22.757728576660156,0.0660461540815196,0.0425928456135628,0.0842078809636355,0.1074322830190325,0.1038477467279175,1.0465549348230911,8.2,0.1247802635435815,-0.2408908206585245,360,0.625,67.79898941516876,0.768191934299422,0.4763755356342337,162.17586517333984,591.4787712097168,0.1292333039524667,1.9096645748912229
T1.6V_2025-08-05-20-22-42_20_26_6_,1_centerhole,0.52413,brick_cladding,6.0,1.6,2.2,brick_cladding_all,172,0.0112471136935923,0.104563690895258,0.0226349300808376,0.1631011962890625,22.582149091099588,0.3423565365707703,22.000234603881836,23.78121757507324,0.1683874515454061,0.1197141699088625,0.1870464945948384,0.371882984608217,0.3598180087419763,1.099041533546326,9.0,1.320177666439352,1.141025196855444,210,0.9333333333333332,47.55634891986847,0.955699373530299,0.3421602528798887,470.63537788391113,702.7478046417236,0.5397123625112028,2.770605553028195
T1.6V_2025-08-05-20-22-42_20_26_6_,2_cornerhole,0.15154,brick_cladding,6.0,1.6,2.2,brick_cladding_all,143,0.0065232323599865,0.0754557923003496,0.0118101054224474,0.1506614685058593,22.686204746219666,0.0828244233947862,22.359067916870117,22.990665435791016,0.1661754646062585,0.1077326720800155,0.1870031690264078,0.0989923615010846,0.0913500856200632,1.1085271317829457,9.4,0.2530392390318339,0.1853628450495623,182,0.9285714285714286,42.97056245803833,0.9732038643863512,0.2905351674107343,325.49511909484863,434.0374813079834,0.4476923495739489,1.9987061373837345
T1.6V_2025-08-08-19-32-17_20_28_8_,1_centerhole,0.41483,brick_cladding,8.0,1.6,1.5,brick_cladding_all,135,0.0110756673930604,0.099650432445383,0.0169666608174641,0.108642578125,22.868448256881152,0.3265385099873235,22.1660213470459,23.90331268310547,0.1587365431162809,0.1122373609189628,0.1804655428285961,0.3457045370321696,0.3379160245877309,1.1297071129707112,9.2,0.8689843400468128,-0.021222035270354,169,1.0,40.3847758769989,1.0401794714522568,0.5448715635542895,398.3282051086426,538.2899436950684,0.5803146277533597,2.9057033397533276
T1.6V_2025-08-08-19-32-17_20_28_8_,2_cornerhole,0.11366,brick_cladding,8.0,1.6,1.5,brick_cladding_all,283,0.0036479823171048,0.0414926710903849,0.0097659655979701,0.1230278015136718,22.736051610670323,0.1069363404249004,22.38661003112793,23.182069778442383,0.0614289584735401,0.0470844293960563,0.0786605403617102,0.1208150286866292,0.1140424049571966,1.0659133709981168,8.8,0.2576888158272128,-0.0578543811039358,345,0.6521739130434783,65.21320307254791,0.8362290213118982,0.5055111243660462,370.5630874633789,643.929874420166,0.2583569038040732,1.8841208131069007
