video_id,hole_id,airflow_rate,material,delta_T,voltage,pressure_Pa,hotspot_area,hotspot_avg_temp_change_rate_initial,hotspot_avg_temp_change_magnitude_initial,peak_pixel_temp_change_rate_initial,peak_pixel_temp_change_magnitude_initial,temp_mean_avg_initial,temp_std_avg_initial,temp_min_overall_initial,temp_max_overall_initial,stabilized_mean_deltaT,overall_mean_deltaT,max_abs_mean_deltaT,stabilized_std_deltaT,overall_std_deltaT,mean_area_significant_change,stabilized_area_significant_change,max_area_significant_change,num_hotspots,hotspot_solidity,centroid_distance,time_to_peak_mean_temp,temperature_skewness,temperature_kurtosis,rate_of_std_change_initial,peak_to_average_ratio,radial_profile_0,radial_profile_1,radial_profile_2,radial_profile_3,radial_profile_4,bbox_area,bbox_aspect_ratio,perimeter,circularity,mean_gradient_at_edge,temp_p25,temp_p75,temp_iqr
T1.4V_2.2Pa_2025-6-16-16-59-16_20_26_6_,1_centerhole,0.20152,brick_cladding,6.0,1.4,0.5,177,0.0091041871240497,0.0772775229761144,0.0143814086914212,0.0955543518065979,22.568421108008778,0.2037284772869485,22.2074127197266,23.3049240112305,0.1534476718341135,0.0990885268676557,0.1691356594279724,0.2328405645929075,0.2201908976535831,12.806666666666668,17.55263157894737,22,1,1.079268292682927,0.0,8.4,1.2126110638944685,1.0312219435167913,0.0034249632579977,1.0326342237100654,23.110592948065857,22.88706088066101,22.65640240449172,22.4987972332881,22.44816528426277,240,1.0666666666666669,48.041630029678345,0.963712876123714,0.2989195865526853,22.4141540527344,22.6616477966309,0.2474937438964985
T1.4V_2.2Pa_2025-6-16-16-59-16_20_26_6_,2_cornerhole,0.04612,brick_cladding,6.0,1.4,0.5,137,0.0056566508193995,0.0637730229509969,0.0114647547403349,0.1512603759765021,22.27441955677784,0.1023428402769657,22.0002346038818,22.6479110717773,0.1289469997011749,0.0793275674416171,0.1508315009792333,0.1289772769806508,0.1157394616916031,0.0,0.0,0,1,1.1183673469387756,0.0,9.8,0.5587544203360826,-0.1922799440793126,0.0024685966938408,1.0167677327818767,22.545605235629623,22.4739164710045,22.371484676996868,22.273782157897948,22.21354299121434,182,1.0769230769230769,41.21320307254791,1.0135792081192547,0.1999207232080148,22.1936149597168,22.3452911376953,0.1516761779784978
T1.4V_2025-08-08-19-56-34_20_28_8_,1_centerhole,0.20152,brick_cladding,8.0,1.4,0.5,132,0.0081812361164633,0.0795416687474102,0.0159022013346354,0.190927505493164,22.48871638124639,0.3155175837801122,21.764896392822266,23.49571990966797,0.1399708547090218,0.0966965907511074,0.1550228523485586,0.3336517000809115,0.326654722380541,19.793333333333333,23.526315789473685,27,1,1.137931034482759,0.0,9.2,0.9205068706011348,0.1794870797994581,0.0029944345003979,1.0447781683645283,23.222931226094563,22.9613795876503,22.638784064186943,22.351455569267273,22.257841110229492,169,1.0,39.79898965358734,1.0472242756154502,0.4970255015014738,22.262590408325195,22.675373077392575,0.4127826690673828
T1.4V_2025-08-08-19-56-34_20_28_8_,2_cornerhole,0.04612,brick_cladding,8.0,1.4,0.5,271,0.0024726050832099,0.0165124097873352,0.0027473449707031,-0.0137367248535156,22.39549481015364,0.0966377619152723,22.04170608520508,22.74400329589844,0.0546075639782156,0.0312181913838034,0.0734421283116653,0.1068003059603437,0.1013372537230749,0.0,0.0,0,1,1.0483558994197293,0.0,8.4,0.1231980463659887,-0.2617511382426354,0.0004273610410314,1.0155615443507322,22.376089413960777,22.44397396199843,22.445300833384195,22.36227719443185,22.38282637162642,360,0.625,64.87005698680878,0.8092646982348792,0.4661321334990803,22.331514358520508,22.455442428588867,0.1239280700683593
T1.4V_2.2Pa_2025-6-16-16-43-12_20_30_10_,1_centerhole,0.20152,brick_cladding,10.0,1.4,0.5,189,0.0075803389624939,0.0654182030410375,0.0137321472167997,0.1511478424071981,22.375943311055497,0.0995734608365389,22.0969753265381,22.7302875518799,0.1375668123883249,0.0956887563069765,0.1537135593474978,0.1394893809360849,0.1197729906210876,0.1866666666666666,0.6842105263157895,3,2,0.8307692307692308,13.38937931709922,7.6,0.6086754019607419,-0.0308099674561752,0.0024993235507695,1.0158359464849611,22.586053348722917,22.471230607283744,22.354076868371113,22.327198624610872,22.290161895751957,374,0.7727272727272727,98.29111969470978,0.245834654186105,0.1952295067747214,22.3039512634277,22.4416770935059,0.1377258300781996
T1.4V_2.2Pa_2025-6-16-16-43-12_20_30_10_,2_cornerhole,0.04612,brick_cladding,10.0,1.4,0.5,177,0.0114331721361497,0.1072117972508657,0.0190788269043004,0.2454776763916015,22.72664384421656,0.2122628826366629,22.3452911376953,23.509334564209,0.1736704621894927,0.1161497618249589,0.1833640815174497,0.2518365275576651,0.2346652926022938,16.24,21.57894736842105,25,1,1.0925925925925926,0.0,9.8,1.172886522882524,0.9861678202399636,0.0041913739809716,1.0344393446457611,23.416239314609093,23.09366335187639,22.81252576754643,22.642862191567055,22.607256650924683,225,1.0,47.79898953437805,0.9735218398037307,0.2878942854988,22.5792198181152,22.8262882232666,0.2470684051514027
T1.6V_2025-08-08-19-32-17_20_28_8_,1_centerhole,0.41483,brick_cladding,8.0,1.6,1.5,135,0.0110756673930604,0.099650432445383,0.0169666608174641,0.108642578125,22.868448256881152,0.3265385099873235,22.1660213470459,23.90331268310547,0.1587365431162809,0.1122373609189628,0.1804655428285961,0.3457045370321696,0.3379160245877309,22.4,26.526315789473685,29,1,1.1297071129707112,0.0,9.2,0.8689843400468128,-0.021222035270354,0.0022043337395533,1.0452529360365728,23.617306391398113,23.37549078464508,23.03817778163486,22.741209983825684,22.631490483003503,169,1.0,40.3847758769989,1.0401794714522568,0.5448715635542895,22.620439529418945,23.08641242980957,0.465972900390625
T1.6V_2025-08-08-19-32-17_20_28_8_,2_cornerhole,0.11366,brick_cladding,8.0,1.6,1.5,283,0.0036479823171048,0.0414926710903849,0.0097659655979701,0.1230278015136718,22.736051610670323,0.1069363404249004,22.38661003112793,23.182069778442383,0.0614289584735401,0.0470844293960563,0.0786605403617102,0.1208150286866292,0.1140424049571966,0.04,0.1052631578947368,1,1,1.0659133709981168,0.0,8.8,0.2576888158272128,-0.0578543811039358,0.0010013098210285,1.019617221820641,22.745584397088912,22.78325394789378,22.79619605654762,22.714494663126327,22.707652022198932,345,0.6521739130434783,65.21320307254791,0.8362290213118982,0.5055111243660462,22.66164779663086,22.81258201599121,0.1509342193603515
T1.6V_2025-08-05-20-06-57_20_30_10_,1_centerhole,0.52413,brick_cladding,10.0,1.6,2.2,166,0.0119111230164098,0.1116357596523798,0.0260705214280348,0.3118648529052734,22.750668940716483,0.3812796809746908,22.179819107055664,24.092952728271484,0.2298979816666559,0.1513159859132566,0.2494590253715038,0.4310071254670281,0.4098817844687462,29.653333333333332,34.18421052631579,36,1,1.0957095709570956,0.0,9.2,1.3545916463107508,1.1820899041005584,0.0062090581184126,1.0589997503393291,23.83908600277371,23.361256735665457,22.85870524553152,22.554169998794304,22.45586144924164,210,0.9333333333333332,46.3847758769989,0.9695428926335268,0.3554456577646082,22.469200134277344,22.908512115478516,0.4393119812011719
T1.6V_2025-08-05-20-06-57_20_30_10_,2_cornerhole,0.15154,brick_cladding,10.0,1.6,2.2,141,0.0088215666580586,0.0835078895514733,0.0146629696800595,0.08209228515625,22.810845760859497,0.0785261570932904,22.537981033325195,23.08641242980957,0.1401560549506407,0.0929155091811008,0.1701545174240202,0.100819555176462,0.090077187197496,0.0,0.0,0,1,1.1146245059288538,0.0,9.2,0.2352205489324424,-0.0676385862756117,0.0017875125822488,1.0120805108166095,22.99294164445665,22.97387800216675,22.908327674865724,22.82293175591363,22.794293933444553,180,0.8,42.38477575778961,0.9863003723115594,0.306411285714359,22.757728576660156,22.867416381835938,0.1096878051757812
