epoch,train_loss,train_mae,val_mae,val_rmse,val_r2
0,0.022547895403724996,0.25039324,0.1605334,0.19796829,0.7967348
1,0.01058191245262882,0.18325445,0.2009704,0.2631991,0.6407138
2,0.007905570104624579,0.1602567,0.13835487,0.17683274,0.83782005
3,0.006890965621033222,0.14662403,0.41887394,0.49044043,-0.24751079
4,0.006337682553052743,0.14344336,0.10198458,0.15977156,0.86760527
5,0.005292473466228481,0.13215785,0.15340671,0.18935165,0.8140441
6,0.004717142206970645,0.12335349,0.30879402,0.35857278,0.3331526
7,0.004893825275600751,0.12540117,0.16740973,0.21289653,0.76492363
8,0.004637085890996086,0.12074009,0.17329763,0.23196256,0.72093356
9,0.003709160377181391,0.10859863,0.21598442,0.29755133,0.54080665
10,0.0035569858047487008,0.10421794,0.2016046,0.26452875,0.6370744
11,0.003407381838315251,0.10203939,0.19376442,0.25414816,0.66499925
12,0.0033922121959035507,0.09807992,0.17778318,0.23031011,0.7248954
13,0.0031324337975683096,0.09476536,0.15607724,0.21824615,0.7529613
14,0.002778626849391815,0.08924433,0.1562762,0.23011236,0.72536767
15,0.0030340461946331584,0.09099706,0.16491519,0.19901863,0.7945722
16,0.0027561909379047447,0.08497735,0.16622272,0.19830735,0.7960379
17,0.002871517946352077,0.08755828,0.27308887,0.4166036,0.09984398
18,0.0026112081815849674,0.08565238,0.20584033,0.23551878,0.7123112
19,0.0026787432882032568,0.08457986,0.17433111,0.20670113,0.77840626
20,0.0022746098074144902,0.07771257,0.24552496,0.3147547,0.4861738
21,0.002153485344534191,0.07552983,0.1867423,0.21997651,0.7490285
22,0.002328389969563767,0.078080595,0.17194517,0.20318173,0.78588796
23,0.0023683116622148573,0.07992499,0.16337204,0.2187603,0.751796
24,0.0021074112786759634,0.07325122,0.16648987,0.22033067,0.7482197
25,0.0022091509902712188,0.07503475,0.14926866,0.2021631,0.78802943
26,0.0020572074542853412,0.07171637,0.15592949,0.2072095,0.7773149
27,0.0020821635733356434,0.07108369,0.3041603,0.39061558,0.20864576
28,0.0017659063385381034,0.06645344,0.19656399,0.22925459,0.72741127
29,0.002216456128055228,0.076086886,0.20984355,0.26572204,0.63379276
