video_id,hole_id,airflow_rate,material,delta_T,voltage,pressure_Pa,session,hotspot_area,hotspot_avg_temp_change_rate_initial,hotspot_avg_temp_change_magnitude_initial,peak_pixel_temp_change_rate_initial,peak_pixel_temp_change_magnitude_initial,temp_mean_avg_initial,temp_std_avg_initial,temp_min_overall_initial,temp_max_overall_initial,stabilized_mean_deltaT,overall_mean_deltaT,max_abs_mean_deltaT,stabilized_std_deltaT,overall_std_deltaT,hotspot_solidity,time_to_peak_mean_temp,temperature_skewness,temperature_kurtosis,bbox_area,bbox_aspect_ratio,cumulative_raw_delta_sum,cumulative_abs_delta_sum,auc_mean_temp_delta,mean_pixel_volatility
T1.8V_2025-07-25-16-37-05_20_34_14_,1,0.49703,gypsum,14.0,1.8,3.3,gypsum_new,322,0.0281390788392244,0.2995753910230583,0.0894227235213569,0.9175338745117188,23.04584208352225,0.3976868307776213,22.510469436645508,24.834409713745117,0.4791772550287976,0.3437486827447564,0.5129947662353516,0.5342632236542079,0.4743438499416572,1.0609555189456343,9.6,1.7299266282852974,2.7276099881542777,420,0.9523809523809524,2973.495128631592,3029.0443725585938,1.8169338451409371,1.910176200155886
T2.0V_2025-07-28-17-12-33_20_26_6_,1,0.60481,gypsum,6.0,2.0,4.5,gypsum_new,154,0.0181067726828835,0.1752882003784179,0.0386837550571986,0.393157958984375,23.27665818573592,0.2482025800771494,22.7851619720459,24.174100875854492,0.2778335217327929,0.1997715860011783,0.3971200422807186,0.3002813596807221,0.2789095734400055,1.1,9.4,1.0636612860061885,0.5011374721635979,210,0.9333333333333332,821.3170337677002,869.2550754547119,1.0505192682340636,2.0205881812355737
T2.0V_2025-07-17-18-13-32_22_30_8_,1,0.60481,gypsum,8.0,2.0,4.5,gypsum_new,225,0.0062714188187208,0.042261106703016,0.0081980228424072,0.0787162780761718,25.783996334160697,0.4923857507437026,23.957536697387695,27.275537490844727,0.0795034832424579,0.0534049788298421,0.1027281019422723,0.501807473567189,0.4982142412700003,0.8620689655172413,6.6,0.0526351099435227,0.715514093414201,378,0.8571428571428571,282.51512145996094,543.9699478149414,0.2645712017483106,1.9181123945448133
T2.0V_2025-08-01-17-46-36_20_28_8_,1,0.60481,gypsum,8.0,2.0,4.5,gypsum_new,227,0.0133146878581185,0.1559818116578775,0.0401266689958243,0.4654464721679687,22.23675465453563,0.2396661605941339,21.806468963623047,23.19573402404785,0.2473267118090026,0.1767862080757494,0.2603683975824715,0.3205516056117451,0.2843427794949885,1.0783847980997625,9.4,1.441726406410663,1.6870682127315009,285,0.7894736842105263,1085.7852668762207,1187.5250930786133,0.941040820487275,2.0051737377822136
T2.0V_2025-07-17-18-00-56_22_34_12_,1,0.60481,gypsum,12.0,2.0,4.5,gypsum_new,199,0.0048746328053483,0.0697577586725159,0.0135183334350585,0.1050434112548828,25.67797135262034,0.4986016155642089,24.06588554382324,27.209978103637695,0.1132591924034281,0.0828221620467056,0.1260927286579409,0.5139478590652367,0.5065943128362114,0.961352657004831,9.8,0.2836979148636258,0.2493942620477849,288,1.125,388.7534770965576,551.15159034729,0.3837312362901081,1.9540526231928683
T2.0V_2025-08-01-17-36-02_20_32_12_,1,0.60481,gypsum,12.0,2.0,4.5,gypsum_new,255,0.0166489117026073,0.1826660081452011,0.0555458584347286,0.6031036376953125,22.29183233373305,0.1746715021099689,21.90340232849121,23.141084671020508,0.2802616768946226,0.2039777051140287,0.3033952226825782,0.2683590972294263,0.2276104940614038,1.0450819672131149,9.8,1.3742866373024132,1.9360342847218217,360,0.9,1420.0034713745115,1483.8379821777344,1.095461612028242,1.9880129122266583
T2.0V_2025-07-28-16-46-09_20_34_14_,1,0.60481,gypsum,14.0,2.0,4.5,gypsum_new,207,0.0274526871344893,0.3041134525612357,0.0701436996459961,0.8291969299316406,22.900779408441075,0.3012802578163935,22.37284469604492,24.092952728271484,0.5417827399608101,0.3546106549814308,0.5793215433756487,0.4052248693465978,0.3600361259680507,1.080939947780679,9.8,1.2098323351947888,0.9693654578023034,272,0.9411764705882352,1871.145700454712,1906.8098316192627,1.7774588967290943,2.0174398929024666
T2.2V_2025-07-25-17-49-55_20_26_6_,1,0.76483,gypsum,6.0,2.2,6.6,gypsum_new,268,0.015074823058943,0.1730899383772666,0.0405426025390624,0.5407581329345703,23.01870293973097,0.3641597048183794,22.537981033325195,24.45763397216797,0.2529454710721424,0.1841488990499029,0.2808384681815532,0.4132016319915687,0.3921631079535824,1.057199211045365,9.8,1.50068895403141,1.5706320961949372,378,0.8571428571428571,1297.5688743591309,1389.606704711914,0.951025987027312,1.914815959645741
T2.2V_2025-07-29-18-04-49_20_28_8_,1,0.76483,gypsum,8.0,2.2,6.6,gypsum_new,251,0.0203048837181594,0.2162604540942645,0.0526283098303753,0.4982624053955078,23.152733328617902,0.4716435185515388,22.57921981811523,24.941804885864254,0.3416822425072773,0.2481775067495304,0.3785042933733784,0.5458171208140697,0.5148314256662649,1.070362473347548,9.8,1.5651616169014722,1.6812526500285303,336,0.7619047619047619,1643.0116748809814,1700.1795177459717,1.2875466038981151,1.8964802183478
T2.2V_2025-07-25-17-32-43_20_30_10_,1,0.76483,gypsum,10.0,2.2,6.6,gypsum_new,270,0.0276266900023086,0.3187835128219056,0.0636344485812717,0.6873435974121094,23.095340146665222,0.4583646350859572,22.455442428588867,24.87469482421875,0.4295992003546834,0.3276592522609395,0.4538010915120445,0.524132400690701,0.5009366063614747,1.0843373493975903,9.8,1.4652970978971205,1.5267286777304951,323,0.8947368421052632,2714.5211791992188,2734.8017921447754,1.9788780777542825,1.9375429506655093
