epoch,train_loss,train_mae,val_mae,val_rmse,val_r2
0,0.07156318346122159,0.32517162,0.14530621,0.20389399,0.8014283
1,0.022565389839366293,0.19962054,0.17979774,0.23143259,0.7441665
2,0.02149716886122174,0.19185977,0.1344166,0.1668254,0.86706704
3,0.020532177598410698,0.18820703,0.15725653,0.20018688,0.8085834
4,0.020076386849711574,0.18618321,0.13314483,0.16891882,0.86370987
5,0.01918731976576399,0.18241578,0.14115104,0.16300207,0.8730904
6,0.018113488857035,0.1768991,0.121762566,0.16058634,0.87682414
7,0.017762722931263197,0.17452143,0.18123658,0.2301121,0.7470776
8,0.01667769847512926,0.16996606,0.17332983,0.2525806,0.6952748
9,0.017154080913932702,0.17141913,0.19574758,0.25546467,0.6882761
10,0.016234141135742917,0.16686842,0.1637217,0.2188164,0.77129894
11,0.01463221863439904,0.15784973,0.11274967,0.13910605,0.9075726
12,0.01646937951317904,0.16643062,0.1508036,0.20917575,0.79100734
13,0.014942203179535209,0.15964657,0.2649706,0.33743256,0.45614588
14,0.013844949981340995,0.15266158,0.13228838,0.15465903,0.8857493
15,0.01368659523635626,0.15314706,0.13358346,0.17526372,0.85327893
16,0.013321773854835472,0.15018298,0.15758929,0.19495898,0.81845057
17,0.013473365203351895,0.15033396,0.25399747,0.3478967,0.421892
18,0.01365740093922488,0.15277818,0.13986541,0.18145466,0.84273046
19,0.013583556864898644,0.15231058,0.1276377,0.15880592,0.87954026
20,0.011547053356563442,0.13939565,0.202556,0.25466895,0.690215
21,0.01163787240700148,0.14103746,0.32974073,0.42456284,0.13902146
22,0.011930607369925716,0.1419059,0.11056305,0.1506455,0.89160216
23,0.01066862556995414,0.13447993,0.119745016,0.14137934,0.90452707
24,0.010201698976305724,0.13181332,0.23425627,0.30542886,0.5544171
25,0.011729130395159682,0.14002967,0.13916686,0.19213395,0.8236739
26,0.010676951141232129,0.13547409,0.11817115,0.13512984,0.912781
27,0.009777034049100396,0.12825659,0.13757366,0.18376337,0.838703
28,0.009716523245192628,0.127904,0.16712333,0.20777671,0.7937936
29,0.010253123388613623,0.13180965,0.16062388,0.22412999,0.76005685
30,0.01074646761029482,0.13490468,0.13511768,0.17032214,0.86143595
31,0.009048601884113997,0.12373528,0.16011819,0.19812886,0.81249887
32,0.009153095715213212,0.123294026,0.17386362,0.21733719,0.77438056
33,0.008520050553473029,0.119019255,0.11028947,0.14301245,0.90230864
34,0.00833096856823062,0.11765666,0.11374055,0.13913731,0.90753114
35,0.008617984895258914,0.11985802,0.1434082,0.19040097,0.82684034
36,0.008137392009248828,0.1157321,0.2125797,0.2896069,0.5993859
37,0.009348751788409902,0.12436391,0.11859452,0.13742515,0.9097929
38,0.008330716669945342,0.11830552,0.15979289,0.21949553,0.7698771
39,0.009006300145265081,0.12202236,0.13429455,0.1727406,0.85747296
40,0.011156939964540025,0.1356507,0.15696608,0.18683317,0.833269
41,0.008461383752658203,0.11803539,0.12250578,0.16507775,0.86983764
42,0.007670431199248792,0.113967724,0.13304996,0.16089272,0.8763537
43,0.0072732610601055105,0.10988621,0.1707853,0.23339288,0.73981416
44,0.008195865778741906,0.117064126,0.11042113,0.13618068,0.9114192
45,0.007866059284535239,0.11442932,0.12102809,0.15083115,0.89133483
46,0.012055995627976698,0.13901414,0.13863626,0.18922321,0.8289759
47,0.011681008668331272,0.13677907,0.11529447,0.13491495,0.9130582
48,0.008987362697998576,0.11996678,0.124088876,0.15303835,0.8881312
49,0.0076480074094073605,0.11346805,0.43529955,0.5354929,-0.3696698
50,0.010156242533672746,0.12631968,0.24040723,0.3706928,0.3436482
51,0.008626119667055582,0.118802674,0.12815979,0.15932009,0.878759
52,0.007036194033631367,0.10848739,0.12023095,0.16554093,0.8691062
53,0.007210668289902005,0.10955985,0.15980104,0.20850119,0.7923531
54,0.00743562882512195,0.11058673,0.12774435,0.14877993,0.8942703
55,0.006832614363726549,0.106293865,0.12230312,0.15492925,0.8853497
