video_id,hole_id,airflow_rate,material,delta_T,voltage,pressure_Pa,session,hotspot_area,hotspot_avg_temp_change_rate_initial,hotspot_avg_temp_change_magnitude_initial,peak_pixel_temp_change_rate_initial,peak_pixel_temp_change_magnitude_initial,temp_mean_avg_initial,temp_std_avg_initial,temp_min_overall_initial,temp_max_overall_initial,stabilized_mean_deltaT,overall_mean_deltaT,max_abs_mean_deltaT,stabilized_std_deltaT,overall_std_deltaT,hotspot_solidity,time_to_peak_mean_temp,temperature_skewness,temperature_kurtosis,bbox_area,bbox_aspect_ratio,perimeter,circularity,mean_gradient_at_edge,cumulative_raw_delta_sum,cumulative_abs_delta_sum,auc_mean_temp_delta,mean_pixel_volatility
T1.4V_2025-08-14-16-16-15_21_26_5_,1_centerhole,0.47978,hardyboard,5.0,1.4,2.0,hardyboard_new,137,0.0029885693478182,0.0853224427160554,0.0045719146728515,0.1782054901123047,22.133742990981055,0.233399550726427,21.653942108154297,22.922208786010746,0.1233741186510531,0.0871668371492918,0.1439472254175342,0.2438706306890966,0.2390120366154931,1.091633466135458,9.4,0.7803497472386568,-0.0460207041617906,195,0.8666666666666667,43.21320295333862,0.92192908550226,0.5816324158499568,647.7311325073242,717.1953811645508,0.9370606498996544,2.8708089007078295
T1.4V_2025-08-14-16-16-15_21_26_5_,2_cornerhole,0.16867,hardyboard,5.0,1.4,2.0,hardyboard_new,120,0.0018301506837214,0.0435782591501876,0.0022122167771862,0.0685997009277343,22.39587491438124,0.1699059737948032,21.806468963623047,22.908512115478516,0.0637528795945027,0.0431525483661239,0.0881907939910888,0.1761692360091468,0.1726400605243145,1.1214953271028036,9.8,-0.0602234428354527,0.0040404267836842,154,1.2727272727272727,40.72792184352875,0.909089431211872,0.6541081423769244,264.27570152282715,471.90289878845215,0.4535958846410275,3.181163263320923
T1.4V_2025-08-15-18-58-06_21_28_7_,1_centerhole,0.47978,hardyboard,7.0,1.4,2.0,hardyboard_new,161,0.0059773775226717,0.0939867126275295,0.0127306649851244,0.2191295623779297,22.287269415845532,0.241689343295816,21.875717163085938,23.100088119506836,0.1169818078197271,0.0859442042317204,0.1323825646631462,0.2674819734272033,0.2535906001647684,1.1141868512110726,13.6,1.0027899064443886,0.2524508641930585,195,0.8666666666666667,44.97056245803833,1.0004124807801886,0.3355414527236708,737.1288452148438,903.504280090332,0.9062893352153144,2.7958644013967575
T1.4V_2025-08-15-18-58-06_21_28_7_,2_cornerhole,0.16867,hardyboard,7.0,1.4,2.0,hardyboard_new,148,0.0038019737974728,0.0691383464916306,0.0057156880696614,0.082284927368164,22.483423474286056,0.1089230151915221,22.09697532653809,22.89481735229492,0.0853929173725923,0.0566484387715641,0.1025854059167805,0.1218371940124486,0.1148713870033194,1.121212121212121,14.8,0.3327682238951696,-0.0016809389039527,210,1.0714285714285714,42.87005698680878,1.0119602596043602,0.288229176744402,398.9133911132813,614.6069564819336,0.5331187428654635,3.152149097339527
T1.4V_2025-08-14-15-57-24_21_30_9_,1_centerhole,0.47978,hardyboard,9.0,1.4,2.0,hardyboard_new,154,0.0097700837370631,0.1455054716630428,0.0170624256134033,0.2457180023193359,22.51557052133403,0.2602575315380452,22.05553436279297,23.41400146484375,0.1691481358208084,0.1253156812263267,0.1819591522216797,0.2905342762191287,0.2737549864713175,1.1079136690647482,14.4,0.943475137921381,0.1753998724602623,195,0.8666666666666667,44.3847758769989,0.9823415695677458,0.493424151119802,973.9268836975098,1069.5601692199707,1.2512941249005372,2.8477366682770966
T1.4V_2025-08-14-15-57-24_21_30_9_,2_cornerhole,0.16867,hardyboard,9.0,1.4,2.0,hardyboard_new,111,0.0090532420235469,0.1347297118590731,0.0128072500228881,0.1503067016601562,22.816842020853866,0.1370456469068344,22.37284469604492,23.277633666992188,0.1492148589726122,0.1102724904698997,0.1703790200723176,0.1511911396218947,0.1433498839771974,1.115577889447236,14.0,0.2304816807877851,-0.2190842985855861,156,1.0833333333333333,37.79898941516876,0.9762756675806958,0.5169915280632033,629.6259078979492,705.6003761291504,1.1234635189846642,3.1728576110289977
T1.4V_2025-08-15-18-45-57_21_32_11_,1_centerhole,0.47978,hardyboard,11.0,1.4,2.0,hardyboard_new,153,0.0077959297529233,0.1095502641465913,0.0170934200286865,0.2325115203857422,22.41777247493303,0.2423941062818195,22.000234603881836,23.2366886138916,0.1493883159179472,0.1059772435772132,0.1659636404000082,0.2779482792933274,0.2580381433455565,1.1291512915129152,14.6,0.9848846746711994,0.2583740989837828,180,0.8,44.14213526248932,0.9867215661598646,0.3519711862840305,829.8691158294678,960.7757740020752,1.073841203427783,2.83733329274296
T1.4V_2025-08-15-18-45-57_21_32_11_,2_cornerhole,0.16867,hardyboard,11.0,1.4,2.0,hardyboard_new,130,0.0057127093398432,0.100172028174768,0.0099420547485351,0.1644363403320312,22.61025792048528,0.1026404093114559,22.276376724243164,23.018035888671875,0.1313576041928185,0.0940830203325319,0.147281455993653,0.1194766088273767,0.1100188566243882,1.1255411255411256,14.0,0.423693758188812,0.0720466270258088,169,1.0,39.79898953437805,1.0313572473148445,0.2801352267915707,641.1734962463379,741.5141754150391,0.9764035606384248,3.1256525039672853
T1.6V_2025-08-15-18-32-56_21_28_7_,1_centerhole,0.61767,hardyboard,7.0,1.6,3.2,hardyboard_new,150,0.006103324890135,0.1070079294840482,0.0136329650878906,0.3001670837402344,22.65349657524957,0.2414645172615255,22.23500633239746,23.441251754760746,0.1365529980575824,0.0987903626335987,0.1601693725585917,0.2650684824356504,0.252199116041106,1.1111111111111112,14.8,0.9271124918850112,0.0928911198116866,192,0.75,44.97056233882904,0.9320613224385412,0.4143321341987928,777.3442077636719,877.3390922546387,1.0257581507364826,2.82202387491862
T1.6V_2025-08-15-18-32-56_21_28_7_,2_cornerhole,0.22286,hardyboard,7.0,1.6,3.2,hardyboard_new,120,0.0068779389063517,0.105948861440023,0.0106677412986755,0.1776161193847656,22.880966838200884,0.1238989520969565,22.469200134277344,23.37310791015625,0.1311808255680836,0.0944759182400188,0.1466592152913435,0.1338916776536119,0.1287166477463719,1.1214953271028036,10.8,0.241220695839789,-0.0055132631621144,169,1.0,39.21320307254791,0.9806780914160784,0.3670223047994738,595.382022857666,710.4531936645508,0.9817084852854624,3.1565015157063803
