delta_T_log,hotspot_area_log,hotspot_avg_temp_change_rate_initial_norm,material_brick_cladding,material_gypsum,temp_max_overall_initial
1.9600947840472698,4.07753744390572,0.002850599193975107,1,0,25.2231369018555
2.4932054526026954,4.574710978503383,0.003482684792533852,1,0,25.8765201568604
2.681021528714291,4.574710978503383,0.0024541832708935337,1,0,26.0756778717041
2.6602595372658615,5.278114659230517,0.003900191139374707,0,1,26.6576137542725
2.2617630984737906,4.564348191467836,0.0033590039676242634,1,0,24.9820384979248
1.9600947840472698,4.477336814478207,0.005106199377074564,0,1,24.5654335021973
2.2617630984737906,4.143134726391533,0.00544487397458456,1,0,25.3434677124023
2.4932054526026954,4.356708826689592,0.002128846730477866,1,0,25.8632297515869
2.681021528714291,5.030437921392435,0.0034837568053236534,0,1,24.6192932128906
1.7227665977411035,4.204692619390966,0.005377900241609416,1,0,24.7672386169434
2.2617630984737906,4.2626798770413155,0.005338033020054692,0,1,24.2822170257568
2.4932054526026954,4.836281906951478,0.0036301289516773565,0,1,24.7403545379639
2.4932054526026954,3.9889840465642745,0.0021574377045646045,1,0,25.8632297515869
2.681021528714291,3.784189633918261,0.0084188227576732,0,1,24.48459815979
1.9600947840472698,4.718498871295094,0.004471814774752381,1,0,24.5250263214111
1.916922612182061,5.0238805208462765,0.005748218534902638,0,1,25.9163799285889
2.2617630984737906,3.6888794541139363,0.002830024662545336,1,0,25.9163799285889
1.9600947840472698,0.0,,1,0,
1.7227665977411035,1.791759469228055,0.008046176361798368,0,1,25.1026630401611
2.681021528714291,3.9512437185814275,0.002250512641955441,1,0,25.7834377288818
1.9600947840472698,4.836281906951478,0.006358468593294421,0,1,24.2011489868164
1.7227665977411035,3.58351893845611,0.0060852560652992025,1,0,24.2011489868164
2.2300144001592104,5.062595033026967,0.005325011666362658,0,1,26.3538379669189
1.9600947840472698,4.795790545596741,0.0045524127847158665,0,1,24.0523414611816
2.468099531471619,5.4680601411351315,0.00487540697186838,0,1,26.6839809417725
2.681021528714291,4.543294782270004,0.002793752786939539,1,0,25.0490684509277
2.4932054526026954,4.574710978503383,0.008846589663365224,0,1,24.6596603393555
1.7227665977411035,2.1972245773362196,0.003810559228112918,1,0,25.4102611541748
2.2617630984737906,5.062595033026967,0.003543185189115255,0,1,24.7269115447998
2.681021528714291,4.983606621708336,0.0027598119001527002,0,1,24.1335315704346
2.4932054526026954,4.709530201312334,0.00355868104920153,1,0,25.1428375244141
1.7227665977411035,4.624972813284271,0.0054930410281235735,0,1,23.8761940002441
2.681021528714291,4.442651256490317,0.0019571562762199872,1,0,25.8499298095703
