video_id,hole_id,airflow_rate,material,delta_T,voltage,pressure_Pa,session,hotspot_area,hotspot_avg_temp_change_rate_initial,hotspot_avg_temp_change_magnitude_initial,peak_pixel_temp_change_rate_initial,peak_pixel_temp_change_magnitude_initial,temp_mean_avg_initial,temp_std_avg_initial,temp_min_overall_initial,temp_max_overall_initial,stabilized_mean_deltaT,overall_mean_deltaT,max_abs_mean_deltaT,stabilized_std_deltaT,overall_std_deltaT,mean_area_significant_change,stabilized_area_significant_change,max_area_significant_change,num_hotspots,hotspot_solidity,centroid_distance,time_to_peak_mean_temp,temperature_skewness,temperature_kurtosis,rate_of_std_change_initial,peak_to_average_ratio,radial_profile_0,radial_profile_1,radial_profile_2,radial_profile_3,radial_profile_4,bbox_area,bbox_aspect_ratio,perimeter,circularity,mean_gradient_at_edge,temp_p25,temp_p75,temp_iqr
T1.4V_2025-07-17-17-36-27_22_26_4_,1,0.41474,gypsum,4.0,1.4,2.5,gypsum_new,806,0.004654996,0.034493565,0.004721369,0.0528965,25.172494272132663,0.3552420386822188,23.509334564208984,26.43317222595215,0.0482347572972333,0.034776135,0.065783278,0.3576265213077823,0.3565573946082691,127.2,131.6315789473684,141,1,0.9987608426270136,0.0,9.4,-0.277219931,1.1616404484930785,0.000410183,1.0500815668161707,25.28439907,25.307154771259853,25.228836823317963,25.146456450026555,25.06938481618123,961,1.0,115.5979790687561,0.7579567458528361,1.6373483588005775,24.96862793,25.396900177001953,0.4282722473144531
T1.4V_2025-07-17-17-08-40_22_30_8_,1,0.41474,gypsum,8.0,1.4,2.5,gypsum_new,283,0.003632972,0.025830090256548,0.0107621037682821,0.039657593,25.34505454262238,0.3771628742388413,23.94398307800293,26.538854598999023,0.036038034,0.031115336,0.059369488,0.3877456866388854,0.3842799150681937,46.39333333333333,47.10526315789474,52,1,0.7256410256410256,0.0,9.6,-0.00248861,0.7322438474556647,0.001803595,1.0471018933642084,25.80652644183185,25.45913529396057,25.228734048207603,25.08229959578741,24.63341236114502,621,1.173913043478261,152.7346351146698,0.1524478262416762,1.260865080224284,25.102663040161133,25.597023010253903,0.4943599700927734
T1.4V_2025-08-01-18-56-23_20_28_8_,1,0.41474,gypsum,8.0,1.4,2.5,gypsum_new,173,0.0132188022336156,0.133606442137264,0.028247833,0.3294849395751953,22.16109039306641,0.1801807105003502,21.62618637084961,22.853710174560547,0.1957522047882513,0.138810030692806,0.2197012818617629,0.2387054218901977,0.2132795885075609,14.786666666666669,20.894736842105264,25,1,1.067901234567901,0.0,9.8,0.9870805807435888,1.0797321037868883,0.006467032,1.0312538674410552,22.58115915151743,22.40237069129944,22.23609865122828,22.105810048628825,22.014037749346564,247,0.6842105263157895,50.627416372299194,0.8481729879843496,0.3327462526732407,22.04170608520508,22.248804092407227,0.2070980072021484
T1.4V_2025-08-01-18-45-09_20_32_12_,1,0.41474,gypsum,12.0,1.4,2.5,gypsum_new,196,0.014512636223618,0.1518103443846428,0.0352260393974108,0.4399299621582031,22.06259722067385,0.1701225157016998,21.62618637084961,22.78516197,0.2485997866355009,0.172546194491744,0.2749909965359443,0.2406058320035906,0.2095128119475848,17.68,27.5,32,1,1.0343007915567282,0.0,9.8,0.996174563103528,1.2057401385331454,0.007223926,1.0327506659413137,22.518255160405086,22.318761666615803,22.128948254371757,22.014775611736155,21.95625604901995,294,0.6666666666666666,56.041630029678345,0.7842317446187078,0.3675698382243048,21.944915771484375,22.13840675354004,0.193490982055664
T1.6V_2025-07-28-18-04-15_20_26_6_,1,0.38087,gypsum,6.0,1.6,2.2,gypsum_new,200,0.0122645473480235,0.136341886520384,0.03402165,0.3810043334960937,22.926778589630125,0.1997908816957674,22.565473556518555,23.754060745239254,0.2113650457482583,0.1530272063573196,0.2321437454223627,0.2458959869024505,0.227510453893931,20.82,27.605263157894736,33,1,1.0389610389610389,0.0,8.8,1.4256058205766458,1.6880413410563664,0.006750424,1.036083663144168,23.584602649395283,23.20372398694356,22.916148436696904,22.83206293,22.79429833094279,304,0.8421052631578947,54.870057106018066,0.8347742331714776,0.2206489440418283,22.78516197,23.004350662231445,0.2191886901855468
T1.6V_2025-07-28-17-46-40_20_30_10_,1,0.38087,gypsum,10.0,1.6,2.2,gypsum_new,192,0.016927173,0.1579675177733079,0.042599301,0.475168228149414,23.022426872849465,0.2525842571909867,22.59295654296875,24.038808822631836,0.3015733659267411,0.2023215268055585,0.4306769867738076,0.3063723765776379,0.2827195918742294,28.766666666666666,39.73684210526316,54,1,1.0909090909090908,0.0,9.2,1.3563601343748657,1.327958189,0.006904729,1.0441474721755333,23.73412036895752,23.517958879470825,23.18784587199871,22.978057670593262,22.897942543029785,240,0.9375,50.041629910469055,0.9634921915241098,0.2626700078655049,22.840003967285156,23.12742805480957,0.287424087524414
T1.6V_2025-07-28-17-36-55_20_34_14_,1,0.38087,gypsum,14.0,1.6,2.2,gypsum_new,237,0.015725048,0.1853969831506887,0.047113366,0.4616851806640625,23.11042350640277,0.213417362,22.757728576660156,24.06588554382324,0.2629828981471109,0.2053531112348972,0.2866396924111392,0.2862375791385999,0.2541700177057578,31.946666666666665,42.026315789473685,47,1,1.0651685393258428,0.0,9.4,1.4932009989969477,1.859040767801802,0.009607272,1.0413433374406038,23.742827635545,23.536228974660236,23.212966243426006,23.034891817304825,22.985917531527004,340,0.85,56.52691113948822,0.9320682213379008,0.261477158,22.963285446166992,23.19573402404785,0.2324485778808593
T1.8V_2025-07-25-17-05-54_20_26_6_,1,0.49703,gypsum,6.0,1.8,3.3,gypsum_new,289,0.0155676871435019,0.1630446028131942,0.0522410563933543,0.5842666625976562,22.648057345618017,0.3139622836891529,22.221220016479492,23.984634399414062,0.2785840012774938,0.1950716751257042,0.2964071386000704,0.3885098639002807,0.3588954919216833,46.906666666666666,57.05263157894737,63,1,1.078358208955224,0.0,8.4,1.7011521151942277,2.5324051003425208,0.0109127386605607,1.0590150860799834,23.44546266702505,23.247544917193327,22.810230687260628,22.568687910985464,22.481053062107257,360,0.9,60.87005698680878,0.980167482,0.2733960784999077,22.44167709350586,22.74400329589844,0.3023262023925781
T1.8V_2025-07-25-16-47-16_20_30_10_,1,0.49703,gypsum,10.0,1.8,3.3,gypsum_new,284,0.0151691974048884,0.182790024179809,0.060869955,0.5801601409912109,23.06979153,0.3816930272782007,22.565473556518555,24.713470458984375,0.3960718889427329,0.2617613098878818,0.4253252459243981,0.4704494437752496,0.4326452187143286,59.66,76.47368421052632,83,1,1.083969465648855,0.0,9.8,1.6918373725317235,2.4849351760268377,0.0124767316709078,1.0712481049935545,24.032439451951248,23.79461234807968,23.231815990648773,22.987115559370626,22.86889393546365,360,0.9,60.28427076339722,0.982019656,0.304780672,22.81258201599121,23.182069778442383,0.3694877624511719
T1.8V_2025-08-01-17-59-10_20_32_12_,1,0.49703,gypsum,12.0,1.8,3.3,gypsum_new,244,0.016137872,0.1727026876856072,0.051436424,0.5065536499023438,22.29384471064709,0.2063905133945424,21.806468963623047,23.25034523010254,0.2885315862578279,0.199803146091314,0.3087271393322552,0.3177477332140145,0.2640059257797401,31.28,43.26315789473684,46,1,1.0317124735729386,0.0,9.8,1.349153912313893,1.787274144046199,0.009718921,1.0429042424880015,22.850993474324543,22.608734528223675,22.380952657972063,22.24492347562635,22.196932392735636,345,0.6521739130434783,62.28427064418793,0.7903927063983954,0.3250479292872173,22.15221405029297,22.37284469604492,0.2206306457519531
