delta_T_log,hotspot_area_log,hotspot_avg_temp_change_rate_initial_norm,overall_std_deltaT,temp_std_avg_initial
2.681021528714291,3.784189633918261,0.0084188227576732,0.188488719944498,0.3699336487058845
2.4932054526026954,4.574710978503383,0.008846589663365224,0.1664312970473812,0.3610075322756148
2.2617630984737906,4.836281906951478,0.004032071606630935,0.11727515525487343,0.3644240678612729
1.9600947840472698,4.836281906951478,0.006358468593294421,0.11959765961103218,0.3074356020682463
1.7227665977411035,4.248495242049359,0.006359344434532496,0.07201968198437429,0.28147721483520216
2.6602595372658615,5.278114659230517,0.003900191139374707,0.2422974507912401,0.7061026597824821
2.468099531471619,5.4680601411351315,0.00487540697186838,0.2823904450341086,0.6369537302499455
2.2300144001592104,5.062595033026967,0.005325011666362658,0.1546308822372719,0.6505605944263916
1.916922612182061,5.0238805208462765,0.005748218534902638,0.11218565851060822,0.5827819649427809
2.681021528714291,4.983606621708336,0.0027598119001527002,0.1581452238969942,0.30941961251300354
2.4932054526026954,4.9344739331306915,0.0031732084431049454,0.13863465624239157,0.3345222784068185
2.2617630984737906,4.2626798770413155,0.005338033020054692,0.10835363388064768,0.33326203430627366
1.9600947840472698,4.795790545596741,0.0045524127847158665,0.09964781758503127,0.3043323121126281
1.7227665977411035,4.624972813284271,0.0054930410281235735,0.08933224834577289,0.28296489312029605
2.4932054526026954,4.836281906951478,0.0036301289516773565,0.13738723003393175,0.4369072207119968
2.2617630984737906,5.062595033026967,0.003543185189115255,0.11751409512849145,0.42317266634527134
1.9600947840472698,4.477336814478207,0.005106199377074564,0.09159496145540556,0.3481436243886699
1.7227665977411035,1.791759469228055,0.008046176361798368,0.08077458131399194,0.10040502727126689
2.681021528714291,5.030437921392435,0.0034837568053236534,0.19448942751734585,0.41763452963902625
