video_id,airflow_rate,delta_T,material,hotspot_area,hotspot_avg_temp_change_rate_initial,hotspot_avg_temp_change_magnitude_initial,peak_pixel_temp_change_rate_initial,peak_pixel_temp_change_magnitude_initial,temp_mean_avg_initial,temp_std_avg_initial,temp_min_overall_initial,temp_max_overall_initial,stabilized_mean_deltaT,overall_mean_deltaT,max_abs_mean_deltaT,stabilized_std_deltaT,overall_std_deltaT,mean_area_significant_change,stabilized_area_significant_change,max_area_significant_change,num_hotspots,hotspot_solidity,centroid_distance,time_to_peak_mean_temp,temperature_skewness,temperature_kurtosis,rate_of_std_change_initial,peak_to_average_ratio,radial_profile_0,radial_profile_1,radial_profile_2,radial_profile_3,radial_profile_4,bbox_area,bbox_aspect_ratio
T1.4V_2025-07-17-17-36-27_22_26_4_,0.41474,4.0,gypsum,555,0.0032181358236311,0.0159323408796971,0.0,0.0,25.16403452541592,0.3642328551833057,23.618179321289062,26.43317222595215,0.0621105709591429,0.0452747874675216,0.0789739316648194,0.3671396633532935,0.3667845173720649,96.81333333333332,100.65789473684212,109,1,0.9511568123393316,0,4.8,-0.1384556168096209,0.8310305533045681,0.0007069837374255,1.050434587476598,25.394191676172717,25.449518670206484,25.20118624736101,25.136699322006464,25.061164538065594,783,1.0740740740740742
T1.4V_2025-07-17-17-08-40_22_30_8_,0.41474,8.0,gypsum,153,0.0052249904291823,0.0246773389429826,0.0085378090540568,0.0132198333740234,25.5307949280583,0.3230803584255434,24.70001792907715,26.499237060546875,0.0464698750824302,0.0418350528891571,0.0774111030927677,0.3420007879135297,0.3350954075032263,22.986666666666668,23.26315789473684,27,1,1.0625,0,4.8,0.2229822073378177,-0.0665064740095497,0.0016672272455598,1.0379323141021457,26.19632551405165,25.780623568428886,25.527556598186493,25.414144778251647,25.292778730392456,216,1.5
T2.4V_2025-07-17-18-57-25_22_34_12_,0.9497,12.0,gypsum,661,0.0074022179444535,0.028892069829574,0.0246202945709228,0.0262660980224609,25.237426101869247,0.5052879144757393,23.34583854675293,27.22309684753418,0.1069962099599114,0.0640744411374236,0.1237631753064505,0.5285007011235026,0.5185405773230894,169.24666666666667,179.6578947368421,187,3,0.768158047646717,0,4.8,0.4633072019120685,1.4492544708508026,0.0022652264604725,1.0786796061393067,26.229930711829144,25.39612932006518,25.09988733869872,25.03807174313453,25.13251272837321,1020,0.8823529411764706
T2.0V_2025-07-17-18-13-32_22_30_8_,0.60481,8.0,gypsum,660,0.0065990262962746,0.0316788471106299,0.0137373752761305,0.0655994415283203,25.43117534406257,0.4735897527800618,23.65896224975586,27.275537490844727,0.0677925925886031,0.0461549305578664,0.0932302330479473,0.4861152784960754,0.482320682119827,166.04666666666665,167.1578947368421,174,3,0.8418367346938775,0,4.4,0.3271831549353093,1.1653024214315106,0.0014076298943407,1.0725236691513262,25.309452760415,25.4224197631929,25.466726752868382,25.58168330063691,25.44195035408283,1088,1.0625
T2.0V_2025-07-17-18-40-29_22_26_4_,0.60481,4.0,gypsum,464,-0.0076803589351734,-0.0363245339229187,-0.0057693322499593,-0.0132389068603515,24.99307010765733,0.4709044950623019,23.68614959716797,26.327388763427734,-0.0611249241984675,-0.0426236190741074,0.0808732961786198,0.4736727605182976,0.4727311634893069,138.46,141.02631578947367,150,1,1.020902090209021,0,4.8,0.04668254119272,-0.2889152427125356,0.0010643421460487,1.0533875450283956,25.06312213897705,25.07407618704296,24.957092155729026,24.98520546202447,24.734646583425587,572,0.8461538461538461
T2.0V_2025-07-17-18-00-56_22_34_12_,0.60481,12.0,gypsum,240,0.0079676500555514,0.0558359305063866,0.0190466792643571,0.07879638671875,25.57981542841593,0.5220187463439396,23.72690200805664,27.131261825561523,0.1159133944595051,0.0850520065625493,0.1281931797663347,0.535741540452702,0.5302816369600133,70.00666666666666,69.89473684210526,78,1,0.8872458410351202,0,4.8,0.1009939914098555,0.5112615133722129,0.0012838029405125,1.0606511959199727,26.283897263663157,25.882775193766545,25.50441640336937,25.195437661532697,24.957231521606445,396,0.8181818181818182
T2.4V_2025-07-17-19-09-10_22_30_8_,0.9497,8.0,gypsum,287,0.0078416792773197,0.0399772099086241,0.0131094455718994,0.0786361694335937,25.594513500094,0.5511818767582399,23.56377220153809,27.314849853515625,0.0857176681887936,0.0660044820078866,0.1074045427169565,0.5581491476495064,0.5571302766404298,89.65333333333334,90.0,97,1,0.8306801736613604,0,4.8,0.0679746436125227,0.821677543418784,0.0009465282519227,1.0672150440919812,26.339203396359004,25.82570315361023,25.463512565408433,25.14744430118137,24.7680440382524,440,0.9090909090909092
T2.4V_2025-07-17-19-34-26_22_26_4_,0.9497,4.0,gypsum,800,0.0029593779490538,0.0075659823417666,0.0064434323992047,0.0,25.026494515705107,0.4325729327982131,23.41400146484375,26.631237030029297,0.0499646735818764,0.0302322886149091,0.0637936449050897,0.4380312862423312,0.4362817874121016,181.14666666666668,184.73684210526315,193,3,0.9232544720138488,0,0.6,0.1491590763555676,0.8218306272010336,0.0003810659498979,1.0641217455891456,25.600556225246855,25.264449918592295,25.025571265828955,24.92352962159274,24.93799409987051,1085,1.1290322580645162
T2.2V_2025-07-25-17-23-25_20_34_14_,0.76483,14.0,gypsum,329,0.0456771072076264,0.2122700468022778,0.1428268527426915,0.7178478240966797,22.658387583584773,0.3966286609705683,22.13840675354004,24.36321449279785,0.4664291678724456,0.3486239509234662,0.5105920635095842,0.5715583315174753,0.5135403742067083,82.48666666666666,98.52631578947368,106,1,1.0786885245901638,0,4.8,1.6003850921535172,1.9964625906275213,0.0270638984591115,1.075240433721249,23.938939412434895,23.62605583667755,22.987753102653905,22.647542417049408,22.512845900323654,396,0.8181818181818182
T3.0V_2025-07-28-16-03-14_20_30_10_,1.28246,10.0,gypsum,223,0.0371763928351145,0.1727795536742604,0.0981553395589192,0.3943138122558594,22.758091164832692,0.3126229717508873,22.262590408325195,23.86263084411621,0.3661663189569054,0.2587635528952189,0.3896795366911618,0.4178027398359878,0.3852614112240143,51.49333333333333,64.97368421052632,69,1,1.0825242718446602,0,4.4,1.1596988689536551,0.6893778554469989,0.0195889882407581,1.0485339333287462,23.766037940979004,23.48979573779636,23.016352772712708,22.69601933579696,22.57412933266681,288,0.8888888888888888
