hotspot_area,hotspot_avg_temp_change_rate_initial,hotspot_avg_temp_change_magnitude_initial,peak_pixel_temp_change_rate_initial,peak_pixel_temp_change_magnitude_initial,temp_mean_avg_initial,temp_std_avg_initial,temp_min_overall_initial,temp_max_overall_initial,stabilized_mean_deltaT,overall_mean_deltaT,max_abs_mean_deltaT,stabilized_std_deltaT,overall_std_deltaT,mean_area_significant_change,stabilized_area_significant_change,max_area_significant_change,delta_T,airflow_rate
52,0.030416544795741074,0.11687333767231323,0.05200308286226125,0.23983955383299715,25.278725351186903,0.17971359738150222,24.9552154541016,25.7834377288818,0.392370875547781,0.26646978720641273,0.42614544354953304,0.16560254632451046,0.1363551224719662,6.293333333333333,14.18421052631579,20.0,13.6,1.8
54,0.023608105135099717,0.11227484102602148,0.03065363077017633,0.1995944976806996,25.344813075595436,0.19084675096070952,25.0088634490967,25.8632297515869,0.30164212511297067,0.21186236675874578,0.33649984995524235,0.09538902656939917,0.07820992020006602,0.24,0.9210526315789473,6.0,11.1,1.8
39,0.02433821209788989,0.11054845956655512,0.03975513164814008,0.2262248992919993,25.42658683972481,0.17277379456305572,25.0222644805908,25.9163799285889,0.2655548978591882,0.18961796719803628,0.2940876789582075,0.05929843897128345,0.05498191571867147,0.0,0.0,0.0,8.6,1.8
8,0.027008789319264523,0.1524174213409637,0.02909942040076479,0.18547439575189983,26.117102899551398,0.02791623528986836,26.0093402862549,26.2876815795898,0.15769712548508852,0.1369523270925094,0.22029352188111195,0.06154213647943835,0.05787792214823945,0.0,0.0,0.0,6.1,1.8
205,0.01678402201096082,0.06593094802484245,0.0156850007864164,0.1062793731689986,25.798986894561022,0.04754107199484405,25.6103439331055,25.9827899932861,0.08945730304841294,0.07575613769283905,0.12034085901772873,0.06222683251528598,0.05311294997898286,0.0,0.0,0.0,4.6,1.8
96,0.03337689248415206,0.16187908252080163,0.057704639434816775,0.23920249938970173,24.030816176732383,0.7600928123842301,23.0864124298096,26.0756778717041,0.46792866315757836,0.31087265306048767,0.5136807362238545,0.14082244321724965,0.11192980827801581,14.906666666666666,38.76315789473684,50.0,13.6,2.4
106,0.0358742653025952,0.17488398641910408,0.06109936787531881,0.35949134826660156,23.857540226342543,0.6928203975259746,23.0043506622314,25.8765201568604,0.4923574249699407,0.34145502210412915,0.5220091118002822,0.189880643131985,0.15244890938711683,27.02,55.44736842105263,62.0,11.1,2.4
65,0.046638737289158315,0.22785691481369952,0.05617510722232968,0.20085144042959868,23.847354932344878,0.6026308090129918,22.9085121154785,25.3434677124023,0.5002179373613819,0.3548217859512799,0.5322161454420923,0.12301759581127424,0.10533498351895278,14.14,33.5,41.0,8.6,2.4
122,0.02683368546965727,0.14355121675085059,0.03852800956139667,0.26850891113280184,23.260076284564907,0.5609471715215935,22.5654735565186,25.0088634490967,0.28951158350762063,0.2076147156595476,0.3281441672903526,0.12365049074044675,0.10223173172800674,1.98,6.684210526315789,13.0,6.1,2.4
83,0.02077035621098639,0.036027402762904615,0.02885756125817253,0.04048728942870028,24.130247552710838,0.08394260970926487,23.8083648681641,24.4711170196533,0.013561963581476967,0.061825184036927196,0.154270976422776,0.102207786662928,0.08491109483972858,0.006666666666666667,0.02631578947368421,1.0,4.6,2.4
