delta_T_log,hotspot_area_log,hotspot_avg_temp_change_rate_initial_norm,overall_std_deltaT,temp_max_overall_initial
2.681021528714291,3.970291913552122,0.002236510646745667,0.1363551224719662,25.7834377288818
2.4932054526026954,4.007333185232471,0.002126856318477452,0.07820992020006602,25.8632297515869
2.2617630984737906,3.6888794541139363,0.002830024662545336,0.05498191571867147,25.9163799285889
1.9600947840472698,2.1972245773362196,0.004427670380207299,0.05787792214823945,26.2876815795898
1.7227665977411035,5.327876168789581,0.0036487004371653963,0.05311294997898286,25.9827899932861
2.681021528714291,4.574710978503383,0.0024541832708935337,0.11192980827801581,26.0756778717041
2.4932054526026954,4.672828834461906,0.0032319157930265946,0.15244890938711683,25.8765201568604
2.2617630984737906,4.189654742026425,0.005423108987111432,0.10533498351895278,25.3434677124023
1.9600947840472698,4.812184355372417,0.004398964831091356,0.10223173172800674,25.0088634490967
1.7227665977411035,4.430816798843313,0.004515294828475302,0.08491109483972858,24.4711170196533
2.681021528714291,4.543294782270004,0.0019152576265756348,0.10503795279650815,25.8499298095703
2.2617630984737906,4.248495242049359,0.0023330464614923795,0.07371916028615258,25.5170288085938
1.9600947840472698,4.0943445622221,0.002809221415805183,0.06704553625378902,25.2231369018555
2.4932054526026954,4.394449154672439,0.002145459101750331,0.09070199079331731,25.8632297515869
1.7227665977411035,5.267858159063328,0.0034610332179181905,0.06317485287509743,26.0226097106934
2.681021528714291,4.564348191467836,0.002764135333690611,0.15788461809917176,25.0490684509277
2.4932054526026954,4.820281565605037,0.0033309355460678382,0.1590295907077225,25.1428375244141
2.2617630984737906,4.605170185988092,0.003282334492149405,0.11859959975063639,24.9820384979248
1.9600947840472698,4.787491742782046,0.004344474379103997,0.10838079093334187,24.5250263214111
1.7227665977411035,3.58351893845611,0.0060852560652992025,0.05949225751388274,24.2011489868164
