sample_id,std_dev,center_offset,max_val,min_val,status
T1.4V_2025-08-14-16-16-15_21_26_5__1_orig_replay_0,0.25453615188598633,0.2375429524605784,22.935903549194336,21.320322036743164,OK
T1.4V_2025-08-14-16-16-15_21_26_5__1_orig_replay_1,0.25453615188598633,0.2375429524605784,22.935903549194336,21.320322036743164,OK
T1.4V_2025-08-14-16-16-15_21_26_5__1_orig_replay_2,0.25453615188598633,0.2375429524605784,22.935903549194336,21.320322036743164,OK
T1.4V_2025-08-14-16-16-15_21_26_5__1_orig_replay_3,0.25453615188598633,0.2375429524605784,22.935903549194336,21.320322036743164,OK
T1.4V_2025-08-14-16-16-15_21_26_5__1_orig_replay_4,0.25453615188598633,0.2375429524605784,22.935903549194336,21.320322036743164,OK
T1.4V_2025-08-14-16-16-15_21_26_5__1_orig_replay_5,0.25453615188598633,0.2375429524605784,22.935903549194336,21.320322036743164,OK
T1.4V_2025-08-14-16-16-15_21_26_5__1_orig_replay_6,0.25453615188598633,0.2375429524605784,22.935903549194336,21.320322036743164,OK
T1.4V_2025-08-14-16-16-15_21_26_5__1_orig_replay_7,0.25453615188598633,0.2375429524605784,22.935903549194336,21.320322036743164,OK
T1.4V_2025-08-14-16-16-15_21_26_5__1_orig_replay_8,0.25453615188598633,0.2375429524605784,22.935903549194336,21.320322036743164,OK
T1.4V_2025-08-14-16-16-15_21_26_5__1_orig_replay_9,0.25453615188598633,0.2375429524605784,22.935903549194336,21.320322036743164,OK
T1.4V_2025-08-14-16-16-15_21_26_5__1_orig_replay_10,0.25453615188598633,0.2375429524605784,22.935903549194336,21.320322036743164,OK
T1.4V_2025-08-14-16-16-15_21_26_5__2_orig_replay_0,0.16361337900161743,0.8185281147295084,22.908512115478516,21.86186981201172,OK
T1.4V_2025-08-14-16-16-15_21_26_5__2_orig_replay_1,0.16361337900161743,0.8185281147295084,22.908512115478516,21.86186981201172,OK
T1.4V_2025-08-14-16-16-15_21_26_5__2_orig_replay_2,0.16361337900161743,0.8185281147295084,22.908512115478516,21.86186981201172,OK
T1.4V_2025-08-14-16-16-15_21_26_5__2_orig_replay_3,0.16361337900161743,0.8185281147295084,22.908512115478516,21.86186981201172,OK
T1.4V_2025-08-14-16-16-15_21_26_5__2_orig_replay_4,0.16361337900161743,0.8185281147295084,22.908512115478516,21.86186981201172,OK
T1.4V_2025-08-14-16-16-15_21_26_5__2_orig_replay_5,0.16361337900161743,0.8185281147295084,22.908512115478516,21.86186981201172,OK
T1.4V_2025-08-14-16-16-15_21_26_5__2_orig_replay_6,0.16361337900161743,0.8185281147295084,22.908512115478516,21.86186981201172,OK
T1.4V_2025-08-14-16-16-15_21_26_5__2_orig_replay_7,0.16361337900161743,0.8185281147295084,22.908512115478516,21.86186981201172,OK
