epoch,train_loss,train_mae,val_mae,val_rmse,val_r2
0,0.06074883382782853,0.39425698,0.23940311,0.30307162,0.44221324
1,0.02279284331841317,0.221954,0.20209828,0.2741659,0.5435381
2,0.01909318097302938,0.20081757,0.21038242,0.29886726,0.45758164
3,0.015847359208803823,0.18229902,0.21347861,0.31417888,0.4005794
4,0.012074393750385421,0.16333719,0.32809812,0.4352628,-0.15048468
5,0.009348925216985283,0.14511512,0.26731342,0.32961494,0.34023166
6,0.008183295474717597,0.13859889,0.17759536,0.2484416,0.6251769
7,0.007479470923435077,0.13259508,0.20049754,0.30392987,0.4390496
8,0.007141922104559278,0.12969708,0.25155056,0.33622685,0.3134969
9,0.007463583155755777,0.13218933,0.19602054,0.26773936,0.56468654
10,0.00628822754295902,0.121536106,0.18613724,0.259505,0.591051
11,0.0061842608392195676,0.12046157,0.25504398,0.32155854,0.37208945
12,0.006730101869810547,0.12532558,0.22552837,0.31664547,0.39113045
13,0.0057526279245113075,0.1155779,0.33105984,0.43292004,-0.13813317
14,0.006656449191584397,0.121769816,0.18226747,0.26960883,0.55858624
15,0.0061190695023885045,0.119270824,0.18130639,0.26065376,0.5874224
16,0.006064089086967574,0.11844616,0.17549437,0.2606423,0.5874586
17,0.005668934465618425,0.114869446,0.21489817,0.30169484,0.4472695
18,0.005671579527015064,0.114499375,0.17044932,0.24813385,0.62610495
19,0.005970213006167846,0.116555095,0.20624538,0.29863155,0.45843685
20,0.005878477992683438,0.11502113,0.17311536,0.25911665,0.592274
21,0.005978106514395089,0.1168911,0.20159549,0.27499565,0.540771
22,0.005471561975789261,0.112121105,0.24143983,0.34808877,0.26420343
23,0.00524634738867403,0.108336516,0.22191904,0.32476127,0.35951906
24,0.005279022090723846,0.110242784,0.19105488,0.3016427,0.44746053
25,0.0052149662036722316,0.10827846,0.19265637,0.26231137,0.5821581
26,0.005284617780495143,0.10989665,0.25232935,0.353487,0.24120468
27,0.005006555596869414,0.106349334,0.1964094,0.2683458,0.56271225
28,0.005368922124995964,0.10830173,0.20761095,0.28030646,0.5228621
29,0.005012878910581276,0.10607929,0.18966289,0.26200858,0.5831222
30,0.0047027535335515454,0.10357018,0.18178493,0.27874985,0.5281467
31,0.0047945560770060024,0.10334966,0.1765994,0.263537,0.5782444
32,0.004903741528473996,0.10485186,0.19573568,0.2782423,0.5298635
33,0.004855598371010205,0.1039624,0.342097,0.43802592,-0.16513789
34,0.004651304348302421,0.10216631,0.19485809,0.29928336,0.45607024
35,0.0043112852214144005,0.09743031,0.18096925,0.2734533,0.54590786
36,0.004301532548214363,0.097065866,0.17186804,0.2859371,0.5035006
37,0.0045286791020096254,0.09848757,0.18387896,0.26541966,0.57219696
38,0.004222564368276304,0.0957959,0.26666307,0.34248096,0.28772032
39,0.004428756291516597,0.09883004,0.21430026,0.3077668,0.42479682
40,0.00517839557350588,0.10468268,0.18363181,0.26216063,0.5826382
41,0.004739664240708035,0.09950807,0.19585839,0.30491138,0.4354207
42,0.004136223709468116,0.09422273,0.1781795,0.26274028,0.5807905
43,0.0037734584246123643,0.0910541,0.1827599,0.26191697,0.5834137
