video_id,hole_id,airflow_rate,material,delta_T,voltage,pressure_Pa,hotspot_area,hotspot_avg_temp_change_rate_initial,hotspot_avg_temp_change_magnitude_initial,peak_pixel_temp_change_rate_initial,peak_pixel_temp_change_magnitude_initial,temp_mean_avg_initial,temp_std_avg_initial,temp_min_overall_initial,temp_max_overall_initial,stabilized_mean_deltaT,overall_mean_deltaT,max_abs_mean_deltaT,stabilized_std_deltaT,overall_std_deltaT,mean_area_significant_change,stabilized_area_significant_change,max_area_significant_change,num_hotspots,hotspot_solidity,centroid_distance,time_to_peak_mean_temp,temperature_skewness,temperature_kurtosis,rate_of_std_change_initial,peak_to_average_ratio,radial_profile_0,radial_profile_1,radial_profile_2,radial_profile_3,radial_profile_4,bbox_area,bbox_aspect_ratio,perimeter,circularity,mean_gradient_at_edge,temp_p25,temp_p75,temp_iqr
T1.4V_2025-08-15-18-58-06_21_28_7_,1_centerhole,0.47978,hardyboard,7.0,1.4,2.0,179,0.0062090541397391,0.0634630086035699,0.0171145796775817,0.2191295623779297,22.24868896079463,0.2352323600167058,21.8480224609375,23.045387268066406,0.1074748817383284,0.0784819566382159,0.1218260759747913,0.26826178575693,0.2538704832393356,16.5,19.94736842105263,23,1,1.0914634146341464,0.0,9.0,1.0889227370531007,0.4735237923761572,0.0036486518758498,1.0358087754597889,22.865067693922256,22.652695110866,22.337724924087524,22.132442623376846,22.068314468159397,224,0.875,48.38477599620819,0.9608275019548782,0.3319130805257285,22.0693416595459,22.359067916870117,0.2897262573242187
T1.4V_2025-08-15-18-58-06_21_28_7_,2_cornerhole,0.16867,hardyboard,7.0,1.4,2.0,172,0.0043510836224221,0.0369518745777206,0.0062318281693892,0.0548744201660156,22.462906528295477,0.1056343001174601,22.09697532653809,22.853710174560547,0.0787932884445097,0.05186027630355,0.0940358250640152,0.1222115738930257,0.1148799691912828,0.0066666666666666,0.0263157894736842,1,1,1.0817610062893082,0.0,9.2,0.4000697659213968,0.0743463932716799,0.0013473440792322,1.0173977328255714,22.67688369750977,22.615982873099192,22.51431378722191,22.449591299203725,22.408157273342734,240,1.0666666666666669,48.041629910469055,0.93648935319716,0.2815246036474352,22.38661003112793,22.52422523498535,0.1376152038574218
T1.4V_2025-08-14-15-57-24_21_30_9_,1_centerhole,0.47978,hardyboard,9.0,1.4,2.0,180,0.0098455557747494,0.0973613315158417,0.0199804073426781,0.1911697387695312,22.455798396852284,0.2512162669347109,22.05553436279297,23.31856918334961,0.1530653320557884,0.1130524572443074,0.1654804123772493,0.2904763195794724,0.2727747615286764,22.2,27.18421052631579,30,2,1.0285714285714285,10.81953355286877,9.6,1.104314021033709,0.5100400321578933,0.0052738252384999,1.0384208466450369,23.075262950016903,22.771345297495525,22.413368563903006,22.28130550873585,22.290148735046387,266,0.7368421052631579,79.2131530046463,0.3604854733940488,0.4799349101667929,22.262590408325195,22.57921981811523,0.316629409790039
T1.4V_2025-08-14-15-57-24_21_30_9_,2_cornerhole,0.16867,hardyboard,9.0,1.4,2.0,114,0.0100284152560773,0.0941642627381469,0.015521916476163,0.1503067016601562,22.793730972691584,0.1319038119285052,22.37284469604492,23.25034523010254,0.1475904883880488,0.1088422431722731,0.1687828030502594,0.1499829158437856,0.142208531931707,0.5666666666666667,1.131578947368421,4,1,1.1343283582089552,0.0,9.0,0.2276418326480444,-0.1739383300981734,0.0018163875974284,1.0200324491834185,23.046855290730793,22.96581768989563,22.8886739148034,22.804162621498108,22.72076043628511,156,1.0833333333333333,37.79898941516876,1.002661496434228,0.5175590004878543,22.699403762817383,22.88111114501953,0.1817073822021484
T1.4V_2025-08-15-18-45-57_21_32_11_,1_centerhole,0.47978,hardyboard,11.0,1.4,2.0,179,0.0086955055019645,0.0741944233132478,0.0206685620684956,0.2325115203857422,22.36438791285681,0.2345921472149669,21.972579956054688,23.16841506958008,0.1353154671749493,0.0958721038704707,0.1499540978969804,0.2798379378117397,0.2591590240620612,17.546666666666667,21.94736842105263,25,1,1.031700288184438,0.0,8.2,1.108889033629247,0.5396176035386824,0.0053839533569847,1.035951225665383,22.99478200765757,22.641628364721935,22.295809059143068,22.203191995620728,22.164038794381277,266,0.7368421052631579,52.041630029678345,0.8305410702128309,0.3422310290336198,22.193614959716797,22.48296546936035,0.2893505096435547
T1.4V_2025-08-15-18-45-57_21_32_11_,2_cornerhole,0.16867,hardyboard,11.0,1.4,2.0,138,0.00639519044376,0.073777254076969,0.0114218393961588,0.082254409790039,22.589349650507387,0.1017636106751602,22.276376724243164,22.94959831237793,0.1271974522134523,0.0906761052412677,0.1444239685500861,0.1227028677779472,0.1130703639606359,0.02,0.0789473684210526,1,1,1.1219512195121952,0.0,8.0,0.3227308538637224,0.0543167624290532,0.0025371722211719,1.0159477217115214,22.864657974243165,22.78257191181183,22.680677318572997,22.59848337703281,22.532091629214403,182,1.0769230769230769,41.21320307254791,1.0209775964996872,0.27707843596911,22.52422523498535,22.647911071777344,0.1236858367919921
T1.4V_2025-08-14-15-47-12_21_34_13_,1_centerhole,0.47978,hardyboard,13.0,1.4,2.0,164,0.0101502736409505,0.1059225594125159,0.0243370873587472,0.2452430725097656,22.71989095920469,0.2377545355470198,22.262590408325195,23.55016708374023,0.1626821724226918,0.1187568975464127,0.1831081669505074,0.2754351274932408,0.2599133880931756,18.673333333333332,24.07894736842105,27,1,1.0445859872611465,0.0,9.6,0.986847665893547,0.3395680889167658,0.0055757283436869,1.0365440188963218,23.293817886939415,22.998161514600117,22.64933971456579,22.540339718694273,22.599816004435223,247,0.6842105263157895,51.21320295333862,0.7857598534672293,0.4677177937059938,22.537981033325195,22.840003967285156,0.3020229339599609
T1.4V_2025-08-14-15-47-12_21_34_13_,2_cornerhole,0.16867,hardyboard,13.0,1.4,2.0,114,0.0087598817930021,0.0969088872273751,0.0136222839355468,0.0953826904296875,23.06802713260316,0.1328886983671077,22.565473556518555,23.509334564208984,0.1422113874722499,0.1024330518399066,0.1641402830157368,0.1407967570985339,0.1400174492332203,0.2733333333333333,0.5789473684210527,2,1,1.1121951219512196,0.0,9.4,0.1191881868189185,-0.0574079184422888,0.0018179655887001,1.0191306967461515,23.301842583550343,23.23154354095459,23.15376196967231,23.073104560375217,22.970735640752885,169,1.0,38.62741649150848,0.9601153006082648,0.4967505332068744,22.976980209350582,23.154748916625977,0.1777687072753906
temp_2025-3-13-17-22-28_21.4_26_4.6_,1,0.645,hardyboard,4.6,1.6,3.5,309,0.0039234730632387,0.0364179209983888,0.0181204477945833,0.1903095245362003,22.88704663532837,0.1815469247670989,22.5104694366455,23.8490676879883,0.0720867060494217,0.0462099668714789,0.0858645392853105,0.2194642416125423,0.2026700937628532,16.393333333333334,20.789473684210527,23,1,0.9951690821256038,0.0,9.4,1.9243228414556297,4.517486634603969,0.0036356541455114,1.042033429126454,23.1066893168858,23.05689644813537,22.897746895298813,22.83298937797546,22.80358074451314,441,1.0,71.69848418235779,0.7553502812295344,0.2742442103354068,22.7851619720459,22.9359035491943,0.1507415771484019
T1.6V_2025-08-14-15-25-44_21_26_5_,1_centerhole,0.61767,hardyboard,5.0,1.6,3.2,193,0.0055191735117758,0.057803415881537,0.012054443359375,0.1776161193847656,22.46056194977439,0.2261502811736807,22.014062881469727,23.263988494873047,0.1069925904826635,0.0737327314123179,0.1233544226137475,0.2436667840349634,0.2366537287754208,15.666666666666666,19.68421052631579,23,2,0.8955916473317865,16.51782551970137,8.8,1.106753439291085,0.5758208088710721,0.0028500852535205,1.0357705451401995,22.72501378446012,22.517518022325305,22.35702528520064,22.326847076416016,22.36242938041687,351,0.4814814814814814,103.29999494552612,0.2272828007703534,0.4787600329680365,22.290163040161133,22.551727294921875,0.2615642547607422
