hotspot_area,hotspot_avg_temp_change_rate_initial,hotspot_avg_temp_change_magnitude_initial,peak_pixel_temp_change_rate_initial,peak_pixel_temp_change_magnitude_initial,temp_mean_avg_initial,temp_std_avg_initial,temp_min_overall_initial,temp_max_overall_initial,stabilized_mean_deltaT,overall_mean_deltaT,max_abs_mean_deltaT,stabilized_std_deltaT,overall_std_deltaT,mean_area_significant_change,stabilized_area_significant_change,max_area_significant_change,delta_T,airflow_rate
43,0.11449598950435551,0.47361227523449756,0.11060110238881969,0.5135173797606996,23.486402492079627,0.3699336487058845,22.7028350830078,24.48459815979,0.7209071319281202,0.5845000862890386,0.7751916397449466,0.23568175752806728,0.188488719944498,26.793333333333333,34.13157894736842,39.0,13.6,1.8
96,0.09819714526335399,0.4095180233319624,0.1472491924579424,0.6885795593262003,23.538356812795005,0.3610075322756148,22.8262882232666,24.6596603393555,0.7072309469967596,0.5570144804318786,0.7341355681419396,0.19951118867350495,0.1664312970473812,56.67333333333333,81.60526315789474,89.0,11.1,1.8
125,0.034675815817026036,0.16623085021972628,0.06413526535034167,0.33786773681639914,23.34603534179687,0.3644240678612729,22.6204395294189,24.4036922454834,0.40231937528911627,0.2750662400309249,0.4546100769043008,0.14546111835665568,0.11727515525487343,13.266666666666667,32.63157894736842,47.0,8.6,1.8
125,0.03878665841909597,0.20186961364746736,0.06808731372539177,0.4063568115233984,23.279374710693354,0.3074356020682463,22.7577285766602,24.2011489868164,0.29123974569220984,0.23505133819580645,0.32083082580566885,0.13723642608121914,0.11959765961103218,5.846666666666667,11.68421052631579,19.0,6.1,1.8
69,0.02925298439884948,0.14130957230277374,0.03746348894558883,0.21675872802739704,23.436012353206028,0.28147721483520216,22.8948173522949,24.0929527282715,0.28960130562043657,0.21517184529327352,0.3127378933671565,0.08069162405295609,0.07201968198437429,0.06666666666666667,0.23684210526315788,2.0,4.6,1.8
195,0.05187254215368361,0.2513915233123001,0.13994833139272903,0.6223926544188991,24.27822493020082,0.7061026597824821,23.2912883758545,26.6576137542725,0.5761165675524846,0.4113641320252979,0.596492747771428,0.2975544210609911,0.2422974507912401,55.766666666666666,96.89473684210526,110.0,13.3,2.4
236,0.052654395296178505,0.26184905585595786,0.17200395143948813,0.834609985351598,24.202302645020563,0.6369537302499455,23.4684906005859,26.6839809417725,0.44560151946639587,0.34600145102893576,0.47039045721796824,0.33317210152860205,0.2823904450341086,52.88,72.60526315789474,80.0,10.8,2.4
157,0.044197596830810065,0.2079153972066905,0.08217656795794523,0.35806274414060013,24.39192576365866,0.6505605944263916,23.495719909668,26.3538379669189,0.41662379938445954,0.3142759018592282,0.43689619659618373,0.17614422062039067,0.1546308822372719,25.173333333333332,40.60526315789474,46.0,8.3,2.4
151,0.0333396675024353,0.16430368486618718,0.05471061559823831,0.319356918335,24.22892390977468,0.5827819649427809,23.4140014648438,25.9163799285889,0.30280223379736304,0.23163844161212221,0.325136854159118,0.11821836973972617,0.11218565851060822,5.726666666666667,11.68421052631579,16.0,5.8,2.4
145,0.03753344184207672,0.19114273334371745,0.0804270084087591,0.420213699340799,23.196321281696186,0.30941961251300354,22.7028350830078,24.1335315704346,0.4468076435926885,0.3228171643662776,0.4718805115798516,0.2067651070087786,0.1581452238969942,25.886666666666667,45.18421052631579,52.0,13.6,1.6
138,0.03522261371846489,0.1766193085822536,0.08366677210880935,0.43302917480469816,23.293610706605772,0.3345222784068185,22.7165622711182,24.3362293243408,0.39785998545923057,0.2875778120842578,0.4197510567264326,0.17365716965892342,0.13863465624239157,18.18,36.18421052631579,43.0,11.1,1.6
70,0.04590708397247035,0.21155855996268258,0.0764424910912088,0.3517875671386008,23.4537820249285,0.33326203430627366,22.7302875518799,24.2822170257568,0.4210841881601424,0.3149201238723009,0.44913207462856136,0.13154108307375798,0.10835363388064768,9.006666666666666,19.63157894736842,27.0,8.6,1.6
120,0.027769717986766786,0.14516903559367123,0.04885296454796041,0.23047256469719812,23.136362728118893,0.3043323121126281,22.6341743469238,24.0523414611816,0.3698772233829197,0.2626840201483856,0.3906827449798567,0.12142493154179716,0.09964781758503127,10.066666666666666,21.210526315789473,26.0,6.1,1.6
101,0.025267988729368435,0.11659063207041598,0.035184456751890705,0.2036380767822017,23.200634810192746,0.28296489312029605,22.6753730773926,23.8761940002441,0.27274730119810003,0.20151022907924723,0.28978595167104065,0.10436429445231285,0.08933224834577289,0.76,2.0789473684210527,5.0,4.6,1.6
125,0.040294431363618655,0.19600357055663764,0.07193510348979942,0.36369705200189983,23.562835232543943,0.4369072207119968,22.8948173522949,24.7403545379639,0.383294976083863,0.2703404737345434,0.41096899414063354,0.16687970125842994,0.13738723003393175,14.846666666666666,31.63157894736842,39.0,11.1,2.1
157,0.030471392626391192,0.14945303558544154,0.07458911308876014,0.41797256469730115,23.40267544448755,0.42317266634527134,22.6341743469238,24.7269115447998,0.32694815086751877,0.23829456944881514,0.34315393532917643,0.1417741603094919,0.11751409512849145,9.533333333333333,21.63157894736842,29.0,8.6,2.1
87,0.031147816200154835,0.17632254238786516,0.05067833386934825,0.2967205047608026,23.7137906383646,0.3481436243886699,23.0043506622314,24.5654335021973,0.3280198477429465,0.2438690875407845,0.3414363641848508,0.10777428807020473,0.09159496145540556,2.28,6.2368421052631575,10.0,6.1,2.1
5,0.03701241126427249,0.12087783813475994,0.029041304955106553,0.05364608764639911,24.86055043029786,0.10040502727126689,24.5923690795898,25.1026630401611,0.24807511379843747,0.12760408782958682,0.3647567749023203,0.09758229656183164,0.08077458131399194,0.06,0.15789473684210525,1.0,4.6,2.1
152,0.047379092552401685,0.2512118314441878,0.10492759117713527,0.5400276184081996,23.307308641734878,0.41763452963902625,22.7028350830078,24.6192932128906,0.5670126887900088,0.4155098651584863,0.5998417452762103,0.23559787528932807,0.19448942751734585,49.13333333333333,79.94736842105263,88.0,13.6,2.1
