delta_T_log,hotspot_area_log,hotspot_avg_temp_change_rate_initial_norm,temp_max_overall_initial
2.681021528714291,3.784189633918261,0.0084188227576732,24.48459815979
2.4932054526026954,4.574710978503383,0.008846589663365224,24.6596603393555
2.2617630984737906,4.836281906951478,0.004032071606630935,24.4036922454834
1.9600947840472698,4.836281906951478,0.006358468593294421,24.2011489868164
1.7227665977411035,4.248495242049359,0.006359344434532496,24.0929527282715
2.6602595372658615,5.278114659230517,0.003900191139374707,26.6576137542725
2.468099531471619,5.4680601411351315,0.00487540697186838,26.6839809417725
2.2300144001592104,5.062595033026967,0.005325011666362658,26.3538379669189
1.916922612182061,5.0238805208462765,0.005748218534902638,25.9163799285889
2.681021528714291,4.983606621708336,0.0027598119001527002,24.1335315704346
2.4932054526026954,4.9344739331306915,0.0031732084431049454,24.3362293243408
2.2617630984737906,4.2626798770413155,0.005338033020054692,24.2822170257568
1.9600947840472698,4.795790545596741,0.0045524127847158665,24.0523414611816
1.7227665977411035,4.624972813284271,0.0054930410281235735,23.8761940002441
2.4932054526026954,4.836281906951478,0.0036301289516773565,24.7403545379639
2.2617630984737906,5.062595033026967,0.003543185189115255,24.7269115447998
1.9600947840472698,4.477336814478207,0.005106199377074564,24.5654335021973
1.7227665977411035,1.791759469228055,0.008046176361798368,25.1026630401611
2.681021528714291,5.030437921392435,0.0034837568053236534,24.6192932128906
