video_id,hole_id,airflow_rate,material,delta_T,voltage,pressure_Pa,hotspot_area,hotspot_avg_temp_change_rate_initial,hotspot_avg_temp_change_magnitude_initial,peak_pixel_temp_change_rate_initial,peak_pixel_temp_change_magnitude_initial,temp_mean_avg_initial,temp_std_avg_initial,temp_min_overall_initial,temp_max_overall_initial,stabilized_mean_deltaT,overall_mean_deltaT,max_abs_mean_deltaT,stabilized_std_deltaT,overall_std_deltaT,mean_area_significant_change,stabilized_area_significant_change,max_area_significant_change,num_hotspots,hotspot_solidity,centroid_distance,time_to_peak_mean_temp,temperature_skewness,temperature_kurtosis,rate_of_std_change_initial,peak_to_average_ratio,radial_profile_0,radial_profile_1,radial_profile_2,radial_profile_3,radial_profile_4,bbox_area,bbox_aspect_ratio
T1.6V_2025-08-15-18-32-56_21_28_7_,2_cornerhole,0.22286,hardyboard,7.0,1.6,3.2,123,0.0091436457640224,0.0867739111427354,0.0136608123779296,0.2185611724853515,22.86221547909868,0.1210155542642205,22.469200134277344,23.277633666992188,0.1313553901120631,0.094737864755355,0.1465414093761907,0.1348364676535742,0.1296801998577029,0.2,0.5,1,1,1.128440366972477,0.0,8.8,0.2233363707843977,-0.0549960446003097,0.0019743801443208,1.0181705131890344,23.144864082336422,23.03639543056488,22.944435755411785,22.848273478056257,22.777416666348778,169,1.0
T1.6V_2025-08-14-15-06-52_21_30_9_,1_centerhole,0.61767,hardyboard,9.0,1.6,3.2,123,0.0073432636709862,0.0784711450096047,0.0136287689208984,0.1772327423095703,23.03740196786276,0.1472856977416876,22.59295654296875,23.52294921875,0.1462208111672799,0.098405666609765,0.1619297430767261,0.1679037124348034,0.1598905189686658,1.106666666666667,2.6315789473684212,4,1,1.1131221719457014,0.0,8.6,0.1610931623167456,-0.4199543815599189,0.002438256993858,1.0210764760524895,23.34732649061415,23.2523633480072,23.098332118988036,22.994346451759338,22.935394150870188,168,0.8571428571428571
T1.6V_2025-08-14-15-06-52_21_30_9_,2_cornerhole,0.22286,hardyboard,9.0,1.6,3.2,188,0.0085682264840812,0.087041682385383,0.0207109036652938,0.1634044647216797,22.68437184435256,0.280646289022053,22.262590408325195,23.645366668701172,0.1470659075498842,0.1039271064514804,0.168395529402062,0.3056320928541525,0.2956268726102087,25.246666666666663,28.81578947368421,32,1,1.0217391304347827,0.0,9.6,1.1783591169323395,0.5730359972346522,0.0041710424140944,1.042363739712187,23.36197750384991,23.00636984904607,22.626799897143716,22.478604855744734,22.49669647216797,285,0.7894736842105263
T1.6V_2025-08-15-18-20-33_21_32_11_,1_centerhole,0.61767,hardyboard,11.0,1.6,3.2,177,0.008835602103909,0.1054154735500532,0.0207600449070785,0.2603073120117187,22.143226319221455,0.255427693898012,21.723302841186523,23.059072494506836,0.1806277304294015,0.1219159293309428,0.2011018311236512,0.3064488970309441,0.282768503936858,22.026666666666667,28.289473684210527,32,1,0.9414893617021276,0.0,9.0,1.11158000042296,0.5785330992518483,0.0053521041328852,1.0413601054373174,22.666274766664248,22.12733298600322,21.975234800769435,21.96565850575765,22.083158493041992,312,0.5416666666666666
T1.6V_2025-08-15-18-20-33_21_32_11_,2_cornerhole,0.22286,hardyboard,11.0,1.6,3.2,124,0.008642796547182,0.0978969912375156,0.0131746438833383,0.2330989837646484,22.425356391476043,0.1467599550992804,21.917240142822266,22.922208786010746,0.16969389421628,0.1187146109919379,0.1868414263571445,0.1701236189125371,0.1585665031652558,2.0533333333333332,4.157894736842105,7,1,1.117117117117117,0.0,8.8,0.250995422671222,0.0621096463999819,0.0019253796689451,1.022155830474273,22.77521800994873,22.653895258903503,22.52208762698703,22.397866029005783,22.34638261795044,182,1.0769230769230769
T1.6V_2025-08-14-14-56-37_21_34_13_,1_centerhole,0.61767,hardyboard,13.0,1.6,3.2,194,0.0111718629813534,0.1377062256803221,0.0272153218587239,0.2858123779296875,22.717719464842812,0.2704729697308576,22.23500633239746,23.67255592346191,0.198766654040979,0.1438754522841424,0.2254941979634424,0.32651502980407,0.2990846474762491,28.046666666666667,34.10526315789474,38,2,1.0130548302872062,10.573820438723189,9.8,1.1967807163381188,0.8009794629462959,0.0061849206926191,1.0420304714166744,23.40438725398137,23.05859927336375,22.67637458600496,22.554155817571676,22.53796625137329,285,0.7894736842105263
T1.6V_2025-08-14-14-56-37_21_34_13_,2_cornerhole,0.22286,hardyboard,13.0,1.6,3.2,128,0.0119501674039797,0.1244110018014907,0.0181560516357421,0.2587776184082031,23.09119378864765,0.1508832182706936,22.620439529418945,23.604583740234375,0.1819061899655743,0.1314611099163691,0.2006782740354538,0.1746137595234402,0.1634046474992943,2.2933333333333334,4.815789473684211,9,1,1.1327433628318584,0.0,9.6,0.2906735737736366,-0.28964316968956,0.0026142520908368,1.0222331489781669,23.426075829399956,23.323316287994384,23.161712050437927,23.04912376403809,23.00689196586609,168,0.8571428571428571
T1.8V_2025-08-15-18-08-25_21_28_7_,1_centerhole,0.74016,hardyboard,7.0,1.8,4.5,127,0.0086237285297472,0.0810721389890645,0.0171486536661783,0.2055950164794922,22.368646238131788,0.1503598573339243,21.90340232849121,22.94959831237793,0.1359556469243447,0.0932142341793997,0.1542319951094981,0.1686523076518474,0.1604985949881376,1.28,2.210526315789474,4,1,1.1140350877192982,0.0,8.4,0.2292555045081905,-0.0239958711723602,0.0028537065050223,1.025971713623679,22.70584487915039,22.587785184383392,22.459793249766033,22.339985445926065,22.27804296357291,182,1.0769230769230769
T1.8V_2025-08-15-18-08-25_21_28_7_,2_cornerhole,0.27122,hardyboard,7.0,1.8,4.5,183,0.0092566894165094,0.0729791088833842,0.0195687157767159,0.2054729461669922,22.085044247153032,0.2544842865544521,21.62618637084961,23.018035888671875,0.1259361864473422,0.0967656435384571,0.1530347209159153,0.2860663144761839,0.272118601853336,20.813333333333333,24.13157894736842,29,2,0.9432989690721648,14.949716038962602,9.0,1.133115419854278,0.6014736781368564,0.004178878022023,1.0422454051292704,22.567304791630924,22.072406830326205,21.93166510264079,21.880326588948567,22.00369167327881,312,0.5416666666666666
T1.8V_2025-08-14-14-16-08_21_30_9_,1_centerhole,0.74016,hardyboard,9.0,1.8,4.5,156,0.0090129818208659,0.1038558177458917,0.017887416638826,0.1768150329589843,23.210351690879232,0.1584744501319995,22.81258201599121,23.754060745239254,0.1560167950978964,0.1102473468454474,0.1777352430881613,0.1838317086232897,0.1723218743212744,4.226666666666667,7.815789473684211,12,1,1.118279569892473,0.0,9.2,0.5416860294496086,-0.1418131235268922,0.0029986729007565,1.0234252828910682,23.547845204671223,23.47694311823164,23.29251429438591,23.15591875199349,23.141046676635742,195,1.1538461538461535
